en,ar,section,source,confidence,type
"**Adverse reactions: Cardiovascular regulation (palpitation, tachycardia, postural hypotension or cardiovascular collapse)**",**الآثار الجانبية: تنظيم القلب والأوعية (خفقان، تسارع القلب، انخفاض ضغط الدم الوضعي أو وهط قلب وعائي)**,medical_term,side_effects,high,sentence
"**Adverse reactions: Gastrointestinal irritation (a feeling of pressure in the stomach, bloating)**",**الآثار الجانبية: تهيج الجهاز الهضمي (شعور بالضغط في المعدة، انتفاخ)**,medical_term,side_effects,high,sentence
"**The most commonly reported side-effects are: feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, and liver damage**",**كانت ردود الفعل السلبية الأكثر شيوعًا: شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، وتلف الكبد**,medical_term,side_effects,high,sentence
"**Each film-coated tablet contains Rivaroxaban 2.5, 10, 15 or 20 mg**",**يحوي كل قرص ملبس بالفيلم ريفاروكسبان ٢.٥، ١٠، ١٥ أو ٢٠ ملغ**,medical_term,updated_dosage_forms,high,sentence
**Each dispersible tablet contains Diclofenac Sodium 50 mg**,**يحوي كل قرص قابل للتشتت ديكلوفيناك صوديوم ٥٠ ملغ**,medical_term,updated_dosage_forms,high,sentence
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 75 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ٧٥ ملغ**,medical_term,updated_dosage_forms,high,sentence
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 100 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٠٠ ملغ**,medical_term,updated_dosage_forms,high,sentence
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 150 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٥٠ ملغ**,medical_term,updated_dosage_forms,high,sentence
**Absorption: The absolute bioavailability of Rivaroxaban is dose-dependent**,**الامتصاص: التوافر الحيوي المطلق لريفاروكسبان يعتمد على الجرعة**,medical_term,updated_pharmacokinetics,high,sentence
"**For 2.5 or 10 mg dose, it is estimated to be 80% to 100% and is not affected by food**",**لجرعة ٢.٥ أو ١٠ ملغ، يقدر ب٨٠٪ إلى ١٠٠٪ ولا يتأثر بالطعام**,medical_term,updated_pharmacokinetics,high,sentence
"**For 20 mg dose, the absolute bioavailability is approximately 66% in the fasted state**",**لجرعة ٢٠ ملغ، التوافر الحيوي المطلق حوالي ٦٦٪ في حالة الصيام**,medical_term,updated_pharmacokinetics,high,sentence
**Coadministration with food increases the bioavailability (mean AUC and Cmax increasing by 39% and 76%)**,**الإعطاء المتزامن مع الطعام يزيد التوافر الحيوي (متوسط AUC وCmax يزدادان بنسبة ٣٩٪ و٧٦٪)**,medical_term,updated_pharmacokinetics,high,sentence
**Maximum concentrations (Cmax) appear 2 to 4 hours after tablet intake**,**التركيزات القصوى (Cmax) تظهر بعد ٢ إلى ٤ ساعات من تناول القرص**,medical_term,updated_pharmacokinetics,high,sentence
**Plasma protein binding of Rivaroxaban is approximately 92% to 95%**,**الارتباط ببروتينات البلازما لريفاروكسبان حوالي ٩٢٪ إلى ٩٥٪**,medical_term,updated_pharmacokinetics,high,sentence
**66% of the dose was recovered in urine (36% as unchanged drug) and 7% in feces**,**تم استعادة ٦٦٪ من الجرعة في البول (٣٦٪ على شكل دواء غير متغير) و٧٪ في البراز**,medical_term,updated_pharmacokinetics,high,sentence
**Terminal elimination half-life of Rivaroxaban is 5 to 9 hours**,**نصف عمر الإطراح النهائي لريفاروكسبان هو ٥ إلى ٩ ساعات**,medical_term,updated_pharmacokinetics,high,sentence
**Clopidogrel is rapidly absorbed. Absorption is at least 50%**,**يمتص كلوبيدوغريل بسرعة. الامتصاص لا يقل عن ٥٠٪**,medical_term,updated_pharmacokinetics,high,sentence
**Clopidogrel is extensively metabolized by two main metabolic pathways**,**يستقلب كلوبيدوغريل بشكل واسع عبر مسارين استقلابين رئيسيين**,medical_term,updated_pharmacokinetics,high,sentence
**Half-life of clopidogrel is approximately 6 hours. The half-life of the active metabolite is about 30 minutes**,**نصف عمر كلوبيدوغريل حوالي ٦ ساعات. نصف عمر المستقلب الفعال حوالي ٣٠ دقيقة**,medical_term,updated_pharmacokinetics,high,sentence
**Aspirin appears rapidly in all body tissues. It crosses the placenta and appears in breast milk**,**يظهر الأسبرين بسرعة في جميع أنسجة الجسم. يعبر المشيمة ويظهر في حليب الثدي**,medical_term,updated_pharmacokinetics,high,sentence
**Absorption of diclofenac from Fast-Vol sets in immediately after administration**,**يبدأ امتصاص ديكلوفيناك من فاست فول فورًا بعد الإعطاء**,medical_term,updated_pharmacokinetics,high,sentence
**Bioavailability of diclofenac is 82% of that achieved with gastro-resistant tablets**,**التوافر الحيوي لديكلوفيناك هو ٨٢٪ من ذلك الذي يتم تحقيقه مع الأقراص المقاومة للمعدة**,medical_term,updated_pharmacokinetics,high,sentence
"**99.7% of diclofenac is bound to serum proteins, mainly to albumin**",**ترتبط ٩٩.٧٪ من ديكلوفيناك ببروتينات المصل، خاصة الألبومين**,medical_term,updated_pharmacokinetics,high,sentence
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: حماة فارما - حماة - سوريا**,medical_term,updated_general,high,sentence
**Tel.: +963 33 8673941 Fax: +963 33 8673943**,**هاتف: +٩٦٣ ٣٣ ٨٦٧٣٩٤١ فاكس: +٩٦٣ ٣٣ ٨٦٧٣٩٤٣**,medical_term,updated_general,high,sentence
**A medicament is a product which affects your health**,**الدواء منتج يؤثر على صحتك**,medical_term,updated_general,high,sentence
**its consumption contrary to instructions is dangerous for you**,**استخدامه خلاف التعليمات يعرضك للخطر**,medical_term,updated_general,high,sentence
**Do not by yourself interrupt the period of treatment prescribed for you**,**لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك**,medical_term,updated_general,high,sentence
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**,medical_term,updated_general,high,sentence
"**Store at room temperature, 15° - 30° C**",**يحفظ في درجة حرارة الغرفة، ١٥-٣٠ درجة مئوية**,medical_term,updated_general,high,sentence
"**Store at room temperature, 20° -25° C**",**يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية**,medical_term,updated_general,high,sentence
**Keep out of reach of children**,**يحفظ بعيدًا عن متناول الأطفال**,medical_term,medical_terms_extended,high,sentence
**Tramadol Hydrochloride is a centrally acting synthetic analgesic compound**,**ترامادول هيدروكلوريد هو مسكن اصطناعي مركزي التأثير**,medical_term,mechanism_pk,high,sentence
"**Non-selective pure agonist at mu, delta, and kappa opioid receptors**",**ناظم غير انتقائي للمستقبلات الأفيونية ميو، دلتا، وكابا**,medical_term,mechanism_pk,high,sentence
**Inhibition of neuronal reuptake of noradrenaline (norepinephrine) and enhancement of serotonin release**,**تثبيط إعادة امتصاص نورادرينالين (نورإبينيفرين) وتعزيز إطلاق السيروتونين**,medical_term,mechanism_pk,high,sentence
**More than 90% of tramadol is absorbed after oral administration. The mean absolute bioavailability is approximately 70%**,**يمتص أكثر من ٩٠٪ من ترامادول بعد تناوله عن طريق الفم. المتوسط التوافر الحيوي المطلق حوالي ٧٠٪**,medical_term,mechanism_pk,high,sentence
**Plasma protein binding of about 20%**,**الارتباط ببروتينات البلازما حوالي ٢٠٪**,medical_term,mechanism_pk,high,sentence
**Passes the blood-brain and placental barriers**,**يعبر حاجز دم-دماغ وحاجز المشيمة**,medical_term,mechanism_pk,high,sentence
**Tramadol and its metabolites are almost completely excreted via the kidneys**,**يطرح ترامادول ومستقلباته تقريبًا بالكامل عن طريق الكلى**,medical_term,mechanism_pk,high,sentence
**Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist**,**أجوميلاتين هو محفز للمستقبلات الميلاتونينية (MT1 و MT2) ومضاد للمستقبلات 5-HT2C**,medical_term,mechanism_pk,high,sentence
**Diclofenac Potassium is a potent inhibitor of prostaglandin biosynthesis**,**ديكلوفيناك بوتاسيوم هو مثبط قوي لتخليق البروستاغلاندين**,medical_term,mechanism_pk,high,sentence
**TRAMADOL HAMA PHARMA (Film-Coated Tablets) (Tramadol Hydrochloride 50 mg)**,**ترامادول هاما فارما (أقراص ملبسة بالفيلم) (ترامادول هيدروكلوريد ٥٠ ملغ)**,medical_term,leaflet_content_detailed,high,sentence
"**NODEMENT (Armodafinil 50 mg, 150 mg, 250 mg) (Tablets)**",**نوديمينت (أرمودافينيل ٥٠ ملغ، ١٥٠ ملغ، ٢٥٠ ملغ) (أقراص)**,medical_term,leaflet_content_detailed,high,sentence
**KETOTIFEN HAMA PHARMA (Ketotifen 1 mg as Hydrogen Fumarate) (Tablets)**,**كيتوتيفين هاما فارما (كيتوتيفين ١ ملغ على شكل فومارات هيدروجين) (أقراص)**,medical_term,leaflet_content_detailed,high,sentence
"**DILTIAZEM HAMA PHARMA (Diltiazem hydrochloride 60 mg, 90 mg, 120 mg, 180 mg) (Tablets)**",**ديلتيازيم هاما فارما (ديلتيازيم هيدروكلوريد ٦٠ ملغ، ٩٠ ملغ، ١٢٠ ملغ، ١٨٠ ملغ) (أقراص)**,medical_term,leaflet_content_detailed,high,sentence
**ANTI-TUSSIVE (Oxomemazine 1.65 mg + Paracetamol 33.3 mg + Sodium benzoate 33.3 mg + Guaifenesin 33.3 mg)**,**مضاد السعال (أوكسوميمازين ١.٦٥ ملغ + باراسيتامول ٣٣.٣ ملغ + بنزوات الصوديوم ٣٣.٣ ملغ + غوايفينيسين ٣٣.٣ ملغ)**,medical_term,leaflet_content_detailed,high,sentence
**FEDROLIDINE (Pseudoephedrine hydrochloride 60 mg + Triprolidine hydrochloride 2.5 mg) (Tablets)**,**فيدروليدين (سودوإيفيدرين هيدروكلوريد ٦٠ ملغ + تريبوليدين هيدروكلوريد ٢.٥ ملغ) (أقراص)**,medical_term,leaflet_content_detailed,high,sentence
**Composition: Each film-coated tablet contains Tramadol Hydrochloride 50 mg**,**التركيب: يحوي كل قرص ملبس بالفيلم على ترامادول هيدروكلوريد ٥٠ ملغ**,medical_term,leaflet_content_detailed,high,sentence
"**Excipients: Magnesium stearate, Microcrystalline cellulose, HPMC, Sodium starch glycolate, Pregelatinized starch, Corn starch, Polysorbate 80, Carnauba wax, Iron oxide yellow, Polyethylene glycol, Titanium dioxide, Lactose**",**السواغات: ستيرات المغنيسيوم، السليلوز البلوري المجهري، HPMC، نشاء الصوديوم غليكولات، نشاء مسبق التجلط، نشاء الذرة، بوليسوربات ٨٠، شمع كارناوبا، أكسيد الحديد الأصفر، بولي إيثيلين غليكول، ثاني أكسيد التيتانيوم، لاكتوز**,medical_term,leaflet_content_detailed,high,sentence
**Pharmacodynamics: Centrally acting synthetic analgesic compound**,**الديناميكا الدوائية: مركب مسكن اصطناعي مركزي التأثير**,medical_term,leaflet_content_detailed,high,sentence
**Elimination: Almost completely excreted via kidneys**,**الإطراح: يتم طرحه تقريبًا بالكامل عن طريق الكلى**,medical_term,leaflet_content_detailed,high,sentence
**Indications: Treatment of moderate to severe pain**,**الاستطبابات: علاج الألم المتوسط إلى الشديد**,medical_term,leaflet_content_detailed,high,sentence
"**Contraindications: Hypersensitivity, Acute intoxication with CNS depressants, MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy, Breastfeeding (long-term)**",**مضادات الاستطباب: فرط الحساسية، التسمم الحاد بمثبطات الجهاز العصبي المركزي، مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع، الإرضاع (طويل الأمد)**,medical_term,leaflet_content_detailed,high,sentence
"**Warnings: Withdrawal symptoms, Drug dependence, Opioid-dependent patients, Convulsive disorders, Respiratory depression**",**التحذيرات: أعراض الانسحاب، الاعتمادية الدوائية، المرضى المعتمدون على الأفيونيات، اضطرابات اختلاجية، كبت التنفس**,medical_term,leaflet_content_detailed,high,sentence
"**Drug Interactions: MAO inhibitors, CNS depressants, Carbamazepine, Cimetidine, SSRIs, SNRIs, Tricyclic antidepressants, Coumarin derivatives (warfarin), Ketoconazole, Erythromycin**",**التداخلات الدوائية: مثبطات MAO، مثبطات الجهاز العصبي المركزي، كاربامازيبين، سيميتيدين، مثبطات استرداد السيروتونين الانتقائية (SSRIs)، مثبطات استرداد السيروتونين والنورادرينالين (SNRIs)، مضادات الاكتئاب ثلاثية الحلقات، مشتقات الكومارين (وارفارين)، كيتوكونازول، إريثرومايسين**,medical_term,leaflet_content_detailed,high,sentence
"**Serotonin syndrome (confusion, agitation, fever, sweating, ataxia, hyperreflexia, myoclonus, diarrhea)**",**متلازمة السيروتونين (ارتباك، هياج، حمى، تعرق، ترنح، فرط المنعكسات، رمع عضلي، إسهال)**,medical_term,leaflet_content_detailed,high,sentence
"**Adverse Reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth, diarrhea, sweating, pruritus, rash, urticaria, fatigue**",**الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم، إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق**,medical_term,leaflet_content_detailed,high,sentence
"**Overdosage: Miosis, vomiting, cardiovascular collapse, sedation, coma, seizures, respiratory depression**",**فرط الجرعة: تضييق حدقة العين، قيء، وهط قلب وعائي، تهدئة، غيبوبة، اختلاجات، كبت التنفس**,medical_term,leaflet_content_detailed,high,sentence
"**Management of Overdosage: Maintain airway, cardiovascular function, naloxone for respiratory depression, diazepam for fits, activated charcoal/gastric lavage within 2 hours**",**إدارة فرط الجرعة: الحفاظ على مجرى الهواء، وظائف القلب والأوعية الدموية، نالوكسون لكبت التنفس، ديازيبام للاختلاجات، الفحم المنشط/غسل المعدة خلال ٢ ساعة**,medical_term,leaflet_content_detailed,high,sentence
"**Dosage: Adults & children >12 years: 50-100 mg 3-4 times daily (acute pain), 50-100 mg every 4-6 hours (chronic pain), max 400 mg/day**",**الجرعة: البالغون والأطفال >١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا (ألم حاد)، ٥٠-١٠٠ ملغ كل ٤-٦ ساعات (ألم مزمن)، حد أقصى ٤٠٠ ملغ/اليوم**,medical_term,leaflet_content_detailed,high,sentence
"**Renal Impairment: Increase dosage interval to 12 hours if creatinine clearance <30 ml/min, not recommended if <10 ml/min**",**قصور كلوي: زيادة فترة الجرعة إلى ١٢ ساعة إذا كانت تصفية الكرياتينين <٣٠ مل/دقيقة، غير موصى به إذا كانت <١٠ مل/دقيقة**,medical_term,leaflet_content_detailed,high,sentence
"**Hepatic Impairment: Divide dose or extend interval to 12 hours, contraindicated in severe impairment**",**قصور كبدي: قسم الجرعة أو اطلب الفترة إلى ١٢ ساعة، مضاد استطباب في القصور الشديد**,medical_term,leaflet_content_detailed,high,sentence
**Pediatric: Not recommended for children <12 years**,**الأطفال: غير موصى به للأطفال <١٢ سنة**,medical_term,leaflet_content_detailed,high,sentence
**Each film-coated tablet contains: Tramadol Hydrochloride 50 mg**,**يحوي كل قرص ملبس بالفيلم: ترامادول هيدروكلوريد ٥٠ ملغ**,medical_term,composition,high,sentence
**Each capsule contains: Pizotifen (as hydrogen maleate) 0.5 mg**,**يحوي كل كبسولة: بيزوتيفين (على شكل ماليات هيدروجين) ٠.٥ ملغ**,medical_term,composition,high,sentence
**Each tablet of Ketotifen Hama Pharma contains: 1 mg Ketotifen (as Hydrogen Fumarate)**,**يحوي كل قرص من كيتوتيفين حماة فارما: ١ ملغ كيتوتيفين (على شكل فومارات هيدروجين)**,medical_term,composition,high,sentence
**Composition: Paracetamol 500 mg + Diclofenac Potassium 50 mg**,**التركيب: باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ**,medical_term,composition,high,sentence
**Composition and Excipients: Each tablet contains 10 mg or 15 mg of aripiprazole**,**التركيب والسواغات: يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**,medical_term,composition,high,sentence
**Reduction in the risk of stroke and systemic embolism in patients with non-valvular atrial fibrillation**,**تقليل خطر السكتة الدماغية والانسداد الجهازي لدى مرضى الرجفان الأذيني غير الصمامي**,medical_term,updated_indications,high,sentence
**Treatment of Deep Vein Thrombosis (DVT)**,**علاج خثار الوريد العميق**,medical_term,updated_indications,high,sentence
**Reduction in the risk of recurrence of DVT and PE**,**تقليل خطر تكرر خثار الوريد العميق والانسداد الرئوي**,medical_term,updated_indications,high,sentence
**Prophylaxis of Deep Vein Thrombosis following Hip or Knee replacement surgery**,**الوقاية من خثار الوريد العميق بعد جراحة استبدال مفصل الورك أو الركبة**,medical_term,updated_indications,high,sentence
**Reduction of Risk of Major Cardiovascular Events in Chronic Coronary Artery Disease (CAD) or Peripheral Artery Disease (PAD)**,**تقليل خطر الأحداث القلبية الوعائية الكبرى في مرض الشريان التاجي المزمن أو مرض الشريان المحيطي**,medical_term,updated_indications,high,sentence
"**Prevention of ischemic events, myocardial infarction, stroke and cardiovascular death in patients with Acute Coronary Syndrome (ACS)**",**الوقاية من الأحداث الإفقارية، احتشاء عضلة القلب، السكتة الدماغية، والوفاة القلبية الوعائية لدى مرضى متلازمة الشريان التاجي الحادة**,medical_term,updated_indications,high,sentence
**ST-segment elevation acute myocardial infarction (STEMI)**,**احتشاء عضلة القلب مع ارتفاع القطعة ST**,medical_term,updated_indications,high,sentence
**Painful syndromes of the vertebral column**,**متلازمات مؤلمة في العمود الفقري**,medical_term,updated_indications,high,sentence
**Painful and/or inflammatory conditions in gynaecology**,**الحالات المؤلمة و/أو الالتهابية في طب النساء**,medical_term,updated_indications,high,sentence
**Treatment of moderate to severe pain**,**علاج الألم المتوسط إلى الشديد**,medical_term,updated_indications,high,sentence
**Avoid concomitant use of Rivaroxaban with combined P-gp and strong CYP3A4 inhibitors**,**تجنب الاستخدام المتزامن لريفاروكسبان مع مثبطات P-gp القوية وCYP3A4**,medical_term,updated_interactions,high,sentence
**Avoid concomitant use of Rivaroxaban with drugs that are combined P-gp and strong CYP3A4 inducers**,**تجنب الاستخدام المتزامن لريفاروكسبان مع الأدوية التي هي مثبطات P-gp القوية ومحفزات CYP3A4**,medical_term,updated_interactions,high,sentence
**Avoid using omeprazole or esomeprazole with clopidogrel**,**تجنب استخدام أوميبرازول أو إيزوميبرازول مع كلوبيدوغريل**,medical_term,updated_interactions,high,sentence
**Omeprazole and esomeprazole significantly reduce the antiplatelet activity of clopidogrel**,**أوميبرازول وإيزوميبرازول يقللان بشكل كبير من النشاط المضاد للصفيحات لكلوبيدوغريل**,medical_term,updated_interactions,high,sentence
**CYP2C19 poor metabolizer status is associated with diminished antiplatelet response to clopidogrel**,**حالة الاستقلاب السيئة لـ CYP2C19 ترتبط باستجابة مضادة للصفيحات ضعيفة لكلوبيدوغريل**,medical_term,updated_interactions,high,sentence
"**Concomitant administration of enoxaparin, warfarin, aspirin, clopidogrel and chronic NSAID use may increase the risk of bleeding**",**الإعطاء المتزامن لإينوكسابارين، وارفارين، أسبرين، كلوبيدوغريل واستخدام مزمن لمضادات الالتهاب غير الستيرويدية قد يزيد خطر النزف**,medical_term,updated_interactions,high,sentence
**Care should be taken and the risk/benefit of treatment determined prior to administration**,**يجب توخي الحذر وتحديد المخاطر/فوائد العلاج قبل إعطاء الدواء**,medical_term,warnings,high,sentence
**Withdrawal symptoms: At therapeutic doses tramadol has the potential to cause withdrawal symptoms**,**أعراض الانسحاب: في الجرعات العلاجية، قد يسبب ترامادول أعراض انسحاب**,medical_term,warnings,high,sentence
**Drug dependence and abuse: Reports of these are rare**,**اعتمادية الدواء وسوء الاستخدام: التقارير عنها نادرة**,medical_term,warnings,high,sentence
**Increased mortality in elderly patients with dementia-related psychosis**,**زيادة معدل الوفيات لدى المرضى المسنين المصابين بذهان مرتبط بالخرف**,medical_term,warnings,high,sentence
**Patients prone to convulsive disorders. Convulsions have been reported at therapeutic doses**,**المرضى المعرضون لاضطرابات اختلاجية. تم الإبلاغ عن اختلاجات في الجرعات العلاجية**,medical_term,warnings,high,sentence
**Selective inhibitor of factor Xa (FXa)**,**مثبط انتقائي لعامل Xa**,medical_term,updated_mechanism,high,sentence
**Does not require a cofactor (such as Anti-thrombin III) for activity**,**لا يتطلب عامل مساعد (مثل مضاد الثرومبين III) للنشاط**,medical_term,updated_mechanism,high,sentence
**Inhibits free FXa and prothrombinase activity**,**يثبط عامل Xa الحر ونشاط البروثرومبيناز**,medical_term,updated_mechanism,high,sentence
**No direct effect on platelet aggregation**,**لا تأثير مباشر على تجمع الصفيحات**,medical_term,updated_mechanism,high,sentence
**Indirectly inhibits platelet aggregation induced by thrombin**,**يثبط بشكل غير مباشر تجمع الصفيحات المحفز بالثرومبين**,medical_term,updated_mechanism,high,sentence
**Clopidogrel selectively inhibits the binding of adenosine diphosphate (ADP) to its platelet receptor**,**يثبط كلوبيدوغريل بشكل انتقائي ارتباط ثنائي فوسفات الأدينوزين (ADP) بمستقبلاته على الصفيحات**,medical_term,updated_mechanism,high,sentence
"**Non-steroidal compound with anti-rheumatic, anti-inflammatory, analgesic and antipyretic properties**",**مركب غير ستيرويدي ذو خصائص مضادة للروماتيزم، مضادة للالتهاب، مسكنة وخافضة للحرارة**,medical_term,updated_mechanism,high,sentence
**AGILOMOX (Paracetamol 500 mg + Diclofenac Potassium 50 mg) (Tablets)**,**أجيلوموكس (باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ) (أقراص)**,medical_term,leaflet_content_basic,high,sentence
"**ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)**",**أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص)**,medical_term,leaflet_content_basic,high,sentence
**Composition & Excipients: Each film-coated tablet contains...**,**التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على...**,medical_term,leaflet_content_basic,high,sentence
"**Chemical composition: Paracetamol 500 mg, Diclofenac Potassium 50 mg**",**التركيب الكيميائي: باراسيتامول ٥٠٠ ملغ، ديكلوفيناك بوتاسيوم ٥٠ ملغ**,medical_term,leaflet_content_basic,high,sentence
**Each tablet contains 10 mg or 15 mg of aripiprazole**,**يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**,medical_term,leaflet_content_basic,high,sentence
"**Excipients: Microcrystalline cellulose, Maize starch, Lactose monohydrate, Magnesium stearate, Iron oxide red**",**السواغات: السليلوز البلوري المجهري، نشاء الذرة، لاكتوز أحادي الماء، ستيرات المغنيسيوم، أكسيد الحديد الأحمر**,medical_term,leaflet_content_basic,high,sentence
**Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors**,**أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A**,medical_term,leaflet_content_basic,high,sentence
"**Absorption: Well absorbed after oral administration, with peak plasma concentrations within 3-5 hours**",**الامتصاص: يمتص بشكل جيد بعد التناول عن طريق الفم، مع وصول التركيز الأقصى في البلازما خلال ٣-٥ ساعات**,medical_term,leaflet_content_basic,high,sentence
**Distribution: >99% bound to serum proteins**,**التوزيع: أكثر من ٩٩٪ مرتبط ببروتينات المصل**,medical_term,leaflet_content_basic,high,sentence
**Metabolism and Elimination: Approximately 25% in urine and 55% in feces**,**الاستقلاب والإطراح: حوالي ٢٥٪ في البول و٥٥٪ في البراز**,medical_term,leaflet_content_basic,high,sentence
**For the treatment of major depressive episodes in adults**,**لعلاج نوبات الاكتئاب الرئيسية عند البالغين**,medical_term,leaflet_content_basic,high,sentence
**For the relief of signs and symptoms of osteoarthritis with gastric protection**,**لتخفيف علامات وأعراض التهاب المفاصل التنكسية مع حماية معدية**,medical_term,leaflet_content_basic,high,sentence
**Acute treatment of manic and mixed episodes associated with Bipolar I Disorder**,**العلاج الحاد للحالات الهوسية والمختلطة المرتبطة باضطراب ثنائي القطب من النوع الأول**,medical_term,leaflet_content_basic,high,sentence
**Adjunctive treatment of major depressive disorder**,**العلاج المساعد لاضطراب الاكتئاب الرئيسي**,medical_term,leaflet_content_basic,high,sentence
**Hypersensitivity to the drug or its components**,**فرط الحساسية للمادة الفعالة أو أي من مكونات الدواء**,medical_term,leaflet_content_basic,high,sentence
**Active or history of recurrent peptic ulcer/haemorrhage**,**قرحة هضمية نشطة أو تاريخ من النزف أو الانثقاب المتكرر**,medical_term,leaflet_content_basic,high,sentence
**History of gastrointestinal bleeding or perforation**,**تاريخ من نزف معدي معوي أو انثقاب**,medical_term,leaflet_content_basic,high,sentence
"**Severe heart failure, hepatic failure, and renal failure**",**فشل قلبي حاد، فشل كبدي، وفشل كلوي**,medical_term,leaflet_content_basic,high,sentence
**Children under the age of 14 years**,**الأطفال تحت سن ١٤ عام**,medical_term,leaflet_content_basic,high,sentence
"**Nausea, vomiting, constipation, headache, dizziness, akathisia, anxiety, insomnia**",**غثيان، قيء، إمساك، صداع، دوخة، أكاثيزيا، قلق، أرق**,medical_term,leaflet_content_basic,high,sentence
