en,ar
**ANTI-TUSSIVE (Oxomemazine 1.65 mg + Paracetamol 33.3 mg + Sodium benzoate 33.3 mg + Guaifenesin 33.3 mg)**,**مضاد السعال (أوكسوميمازين ١.٦٥ ملغ + باراسيتامول ٣٣.٣ ملغ + بنزوات الصوديوم ٣٣.٣ ملغ + غوايفينيسين ٣٣.٣ ملغ)**
**ANTI-TUSSIVE**,**مضاد السعال**
**Antibacterial**,**مضاد للبكتيريا**
**Antibiotics**,**مضادات حيوية**
**Anticoagulant**,**مضاد تخثر**
**Antidepressants**,**مضادات الاكتئاب**
**Antidiabetic**,**مضاد السكري**
**Antihistamines**,**مضادات هيستامين**
**Antihypertensive Drugs**,**أدوية خافضة لضغط الدم**
**Antihypertensives**,**أدوية خافضة لضغط الدم**
**Antioxidant**,**مضاد للأكسدة**
**Antioxidants**,**مضادات الأكسدة**
**Antipsychotics**,**مضادات الذهان**
**Arab Pharmacists Association**,**اتحاد الصيدليين العرب**
**Area Under Curve (AUC)**,**مساحة تحت المنحنى**
"**ARIPIPRAZOLE (10 mg, 15 mg) (Tablets)**",**أريبيبرازول (١٠ ملغ، ١٥ ملغ) (أقراص)**
**Aripiprazole exhibits partial agonist activity at D2 and 5-HT1A receptors and antagonist activity at 5-HT2A receptors**,**أريبيبرازول يُظهر نشاطًا محفزًا جزئيًا للمستقبلات D2 و5-HT1A ونشاطًا مضادًا للمستقبلات 5-HT2A**
**ARIPIPRAZOLE HAMA PHARMA**,**أريبيبرازول حماة فارما**
**Aripiprazole**,**أريبيبرازول**
**Armodafinil**,**أرمودافينيل**
**Aspiration Pneumonia**,**التهاب رئوي استشاقي**
**Aspirin appears rapidly in all body tissues. It crosses the placenta and appears in breast milk**,**يظهر الأسبرين بسرعة في جميع أنسجة الجسم. يعبر المشيمة ويظهر في حليب الثدي**
**Atypical Antipsychotics**,**مضادات ذهان غير نمطية**
**Autistic Disorder**,**اضطراب التوحد**
**Avoid concomitant use of Rivaroxaban with combined P-gp and strong CYP3A4 inhibitors**,**تجنب الاستخدام المتزامن لريفاروكسبان مع مثبطات P-gp القوية وCYP3A4**
**Avoid concomitant use of Rivaroxaban with drugs that are combined P-gp and strong CYP3A4 inducers**,**تجنب الاستخدام المتزامن لريفاروكسبان مع الأدوية التي هي مثبطات P-gp القوية ومحفزات CYP3A4**
**Avoid concomitant use with other NSAIDs**,**تجنب الاستخدام المتزامن مع مضادات الالتهاب غير الستيرويدية الأخرى**
**Avoid using omeprazole or esomeprazole with clopidogrel**,**تجنب استخدام أوميبرازول أو إيزوميبرازول مع كلوبيدوغريل**
**Benzodiazepines**,**بنزوديازيبينات**
**Bioavailability of diclofenac is 82% of that achieved with gastro-resistant tablets**,**التوافر الحيوي لديكلوفيناك هو ٨٢٪ من ذلك الذي يتم تحقيقه مع الأقراص المقاومة للمعدة**
**Bioavailability**,**التوافر الحيوي**
**Bioavailability: 87%**,**التوافر الحيوي: ٨٧٪**
**Bipolar Disorder**,**اضطراب ثنائي القطب**
**Blood-Brain Barrier**,**حاجز دم-دماغ**
**Body Temperature Regulation**,**تنظيم درجة حرارة الجسم**
**Body Weight Gain**,**زيادة الوزن**
**Bradycardia**,**بطء القلب**
**Breast Milk**,**حليب الثدي**
**Buprenorphine**,**بوبرينورفين**
**Bupropion**,**بوبروبيون**
**Calcium Channel Blockers**,**حاصر قنوات الكالسيوم**
**Carbamazepine**,**كاربامازيبين**
**Cardiovascular Collapse**,**وهط قلب وعائي**
**Cardiovascular disease**,**أمراض قلبية وعائية**
**Care should be taken and the risk/benefit of treatment determined prior to administration**,**يجب توخي الحذر وتحديد المخاطر/فوائد العلاج قبل إعطاء الدواء**
**Carnauba Wax**,**شمع كارناوبا**
**Carton Box**,**علبة كرتون**
**Caution should be exercised during concomitant treatment with tramadol and coumarin derivatives (e.g. warfarin)**,**يجب توخي الحذر أثناء العلاج المتزامن بترامادول ومشتقات الكومارين (مثل وارفارين)**
**Central Acting Analgesic**,**مسكن ألم مركزي التأثير**
**Cerebrovascular Adverse Events**,**أحداث قلبية وعائية سلبية**
"**Cerebrovascular adverse events, including stroke**",**أحداث قلبية وعائية سلبية، بما في ذلك السكتة الدماغية**
**Cerebrovascular Disease**,**أمراض دماغية وعائية**
"**Chemical composition: Paracetamol 500 mg, Diclofenac Potassium 50 mg**",**التركيب الكيميائي: باراسيتامول ٥٠٠ ملغ، ديكلوفيناك بوتاسيوم ٥٠ ملغ**
**Children under 12 years: Not recommended**,**الأطفال تحت ١٢ سنة: غير موصى به**
**Children under the age of 14 years**,**الأطفال تحت سن ١٤ عام**
**Cimetidine**,**سيميتيدين**
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 100 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٠٠ ملغ**
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 150 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٥٠ ملغ**
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 75 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ٧٥ ملغ**
**Clopidogrel (as Hydrogen Sulphate)**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين)**
**Clopidogrel is extensively metabolized by two main metabolic pathways**,**يستقلب كلوبيدوغريل بشكل واسع عبر مسارين استقلابين رئيسيين**
**Clopidogrel is rapidly absorbed. Absorption is at least 50%**,**يمتص كلوبيدوغريل بسرعة. الامتصاص لا يقل عن ٥٠٪**
**Clopidogrel selectively inhibits the binding of adenosine diphosphate (ADP) to its platelet receptor**,**يثبط كلوبيدوغريل بشكل انتقائي ارتباط ثنائي فوسفات الأدينوزين (ADP) بمستقبلاته على الصفيحات**
**Close medical surveillance is imperative in patients with symptoms indicative of gastrointestinal disorders**,**المراقبة الطبية الدقة ضرورية للمرضى الذين تظهر عليهم أعراض اضطرابات معدية معوية**
**CLOZAPINE HAMA PHARMA (Tablets)**,**كلوزابين هاما فارما (أقراص)**
**CLOZAPINE HAMA PHARMA**,**كلوزابين حماة فارما**
**Clozapine**,**كلوزابين**
**CNS Depressants**,**مثبطات الجهاز العصبي المركزي**
**Coadministration with food increases the bioavailability (mean AUC and Cmax increasing by 39% and 76%)**,**الإعطاء المتزامن مع الطعام يزيد التوافر الحيوي (متوسط AUC وCmax يزدادان بنسبة ٣٩٪ و٧٦٪)**
**Cognitive and Motor Impairment**,**إعاقة معرفية وحركية**
**Composition & Excipients: Each film-coated tablet contains...**,**التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على...**
**Composition and Excipients: Each tablet contains 10 mg or 15 mg of aripiprazole**,**التركيب والسواغات: يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**
**Composition: Each film-coated tablet contains Tramadol Hydrochloride 50 mg**,**التركيب: يحوي كل قرص ملبس بالفيلم على ترامادول هيدروكلوريد ٥٠ ملغ**
**Composition: Paracetamol 500 mg + Diclofenac Potassium 50 mg**,**التركيب: باراسيتامول ٥٠٠ ملغ + ديكلوفيناك بوتاسيوم ٥٠ ملغ**
"**Concomitant administration of enoxaparin, warfarin, aspirin, clopidogrel and chronic NSAID use may increase the risk of bleeding**",**الإعطاء المتزامن لإينوكسابارين، وارفارين، أسبرين، كلوبيدوغريل واستخدام مزمن لمضادات الالتهاب غير الستيرويدية قد يزيد خطر النزف**
**Concomitant administration of Tramadol with other centrally depressant medicinal products including alcohol may potentiate the CNS effects**,**الإعطاء المتزامن لترامادول مع منتجات طبية مثبطة للجهاز العصبي المركزي بما في ذلك الكحول قد يزيد من آثار الجهاز العصبي المركزي**
**Concurrent anticoagulant therapy**,**العلاج المتزامن بمضادات التخثر**
**Contraindications**,**مضادات الاستطباب**
**Contraindications: Acute intoxication with central nervous system depressants**,**مضادات الاستطباب: التسمم الحاد بمثبطات الجهاز العصبي المركزي**
**Contraindications: Hypersensitivity to the active substance or any of the other ingredients**,**مضادات الاستطباب: فرط الحساسية للمادة الفعالة أو أي من المكونات الأخرى**
"**Contraindications: Hypersensitivity, Acute intoxication with CNS depressants, MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy, Breastfeeding (long-term)**",**مضادات الاستطباب: فرط الحساسية، التسمم الحاد بمثبطات الجهاز العصبي المركزي، مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع، الإرضاع (طويل الأمد)**
"**Contraindications: MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy**",**مضادات الاستطباب: مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع**
**Contraindications: Severe hepatic impairment**,**مضادات الاستطباب: قصور كبدي شديد**
**Corn Starch**,**نشاء الذرة**
**Coronal Ischemia**,**نقص تروية الشريان التاجي**
**Coumarin Derivatives (Warfarin)**,**مشتقات الكومارين (وارفارين)**
**Council of Arab Health Ministers**,**مجلس وزراء الصحة العرب**
**CYP2C19 poor metabolizer status is associated with diminished antiplatelet response to clopidogrel**,**حالة الاستقلاب السيئة لـ CYP2C19 ترتبط باستجابة مضادة للصفيحات ضعيفة لكلوبيدوغريل**
**Decongestant**,**مزيل احتقان**
**Decongestants**,**مزيلات الاحتقان**
**Decreased formation of thromboxane A2**,**انخفاض تكوين الثرومبوكسان A2**
**Decreased Level of Consciousness**,**انخفاض مستوى الوعي**
**Decreases thrombin generation**,**يقلل من توليد الثرومبين**
**Dementia-Related Psychosis**,**ذهان مرتبط بالخرف**
**Depression / Major Depressive Disorder**,**اكتئاب / اضطراب اكتئابي كبير**
**Diazepam**,**ديازيبام**
**Diclofenac Potassium is a potent inhibitor of prostaglandin biosynthesis**,**ديكلوفيناك بوتاسيوم هو مثبط قوي لتخليق البروستاغلاندين**
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**
**Diclofenac Sodium**,**ديكلوفيناك صوديوم**
"**DILTIAZEM HAMA PHARMA (Diltiazem hydrochloride 60 mg, 90 mg, 120 mg, 180 mg) (Tablets)**",**ديلتيازيم هاما فارما (ديلتيازيم هيدروكلوريد ٦٠ ملغ، ٩٠ ملغ، ١٢٠ ملغ، ١٨٠ ملغ) (أقراص)**
**DILTIAZEM HAMA PHARMA**,**ديلتيازيم حماة فارما**
**Diltiazem Hydrochloride**,**ديلتيازيم هيدروكلوريد**
**Dispersible tablets**,**أقراص قابلة للتشتت**
**Distribution: >99% bound to serum proteins**,**التوزيع: أكثر من ٩٩٪ مرتبط ببروتينات المصل**
**Diuretic**,**مدر للبول**
**Diuretics**,**مدرات البول**
**Do not by yourself interrupt the period of treatment prescribed for you**,**لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك**
**Do not interrupt the treatment period**,**لا تقاطع فترة العلاج**
**Do not interrupt treatment**,**لا تقاطع فترة العلاج**
**Does not require a cofactor (such as Anti-thrombin III) for activity**,**لا يتطلب عامل مساعد (مثل مضاد الثرومبين III) للنشاط**
**Dosage Adjustment**,**تعديل الجرعة**
**Dosage and Administration**,**الجرعة وطريقة الاستعمال**
**Dosage increases should generally not be made before 2 weeks**,**يجب عدم زيادة الجرعة قبل مرور أسبوعين**
**Dosage Interval**,**فترة الجرعة**
"**Dosage: Adults & children >12 years: 50-100 mg 3-4 times daily (acute pain), 50-100 mg every 4-6 hours (chronic pain), max 400 mg/day**",**الجرعة: البالغون والأطفال >١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا (ألم حاد)، ٥٠-١٠٠ ملغ كل ٤-٦ ساعات (ألم مزمن)، حد أقصى ٤٠٠ ملغ/اليوم**
**Drug dependence and abuse: Reports of these are rare**,**اعتمادية الدواء وسوء الاستخدام: التقارير عنها نادرة**
**Drug Dependence**,**اعتمادية دوائية**
**Drug Interactions**,**التداخلات الدوائية**
"**Drug Interactions: MAO inhibitors, CNS depressants, Carbamazepine, Cimetidine, SSRIs, SNRIs, Tricyclic antidepressants, Coumarin derivatives (warfarin), Ketoconazole, Erythromycin**",**التداخلات الدوائية: مثبطات MAO، مثبطات الجهاز العصبي المركزي، كاربامازيبين، سيميتيدين، مثبطات استرداد السيروتونين الانتقائية (SSRIs)، مثبطات استرداد السيروتونين والنورادرينالين (SNRIs)، مضادات الاكتئاب ثلاثية الحلقات، مشتقات الكومارين (وارفارين)، كيتوكونازول، إريثرومايسين**
**Dry Mouth**,**جفاف الفم**
**Dyslipidemia**,**اضطراب دهني**
**Dysphagia**,**صعوبة البلع**
"**Dysphagia, esophageal dysmotility, aspiration pneumonia**",**صعوبة البلع، اضطراب حركية المريء، التهاب رئوي استشاقي**
**Each capsule contains: Pizotifen (as hydrogen maleate) 0.5 mg**,**يحوي كل كبسولة: بيزوتيفين (على شكل ماليات هيدروجين) ٠.٥ ملغ**
**Each dispersible tablet contains Diclofenac Sodium 50 mg**,**يحوي كل قرص قابل للتشتت ديكلوفيناك صوديوم ٥٠ ملغ**
"**Each film-coated tablet contains Rivaroxaban 2.5, 10, 15 or 20 mg**",**يحوي كل قرص ملبس بالفيلم ريفاروكسبان ٢.٥، ١٠، ١٥ أو ٢٠ ملغ**
**Each film-coated tablet contains: Tramadol Hydrochloride 50 mg**,**يحوي كل قرص ملبس بالفيلم: ترامادول هيدروكلوريد ٥٠ ملغ**
**Each tablet contains 10 mg or 15 mg of aripiprazole**,**يحوي كل قرص على ١٠ ملغ أو ١٥ ملغ من أريبيبرازول**
**Each tablet of Ketotifen Hama Pharma contains: 1 mg Ketotifen (as Hydrogen Fumarate)**,**يحوي كل قرص من كيتوتيفين حماة فارما: ١ ملغ كيتوتيفين (على شكل فومارات هيدروجين)**
**Elimination: Almost completely excreted via kidneys**,**الإطراح: يتم طرحه تقريبًا بالكامل عن طريق الكلى**
**Enalapril Maleate**,**ينالابريل مالات**
**Enzyme Inducer**,**محفز إنزيم**
**Enzyme Inhibitor**,**مثبط إنزيم**
**Erythromycin**,**إريثرومايسين**
**Esomeprazole**,**إيزوميبرازول**
**Esophageal Dysmotility**,**اضطراب حركية المريء**
**Excipients**,**السواغات**
"**Excipients: Magnesium stearate, Microcrystalline cellulose, HPMC, Sodium starch glycolate, Pregelatinized starch, Corn starch, Polysorbate 80, Carnauba wax, Iron oxide yellow, Polyethylene glycol, Titanium dioxide, Lactose**",**السواغات: ستيرات المغنيسيوم، السليلوز البلوري المجهري، HPMC، نشاء الصوديوم غليكولات، نشاء مسبق التجلط، نشاء الذرة، بوليسوربات ٨٠، شمع كارناوبا، أكسيد الحديد الأصفر، بولي إيثيلين غليكول، ثاني أكسيد التيتانيوم، لاكتوز**
"**Excipients: Microcrystalline cellulose, Maize starch, Lactose monohydrate, Magnesium stearate, Iron oxide red**",**السواغات: السليلوز البلوري المجهري، نشاء الذرة، لاكتوز أحادي الماء، ستيرات المغنيسيوم، أكسيد الحديد الأحمر**
**Expectorants**,**طاردات للبلغم**
**FEDROLIDINE (Pseudoephedrine hydrochloride 60 mg + Triprolidine hydrochloride 2.5 mg) (Tablets)**,**فيدروليدين (سودوإيفيدرين هيدروكلوريد ٦٠ ملغ + تريبوليدين هيدروكلوريد ٢.٥ ملغ) (أقراص)**
**FEDROLIDINE**,**فيدروليدين**
"**Feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, liver damage**",**شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، تلف الكبد**
**FEM-RELIEVE (Film-Coated Tablets)**,**فيم-ريليف (أقراص ملبسة بالفيلم)**
**FEM-RELIEVE**,**فيم-ريليف**
**Film-Coated Tablets**,**أقراص ملبسة بالفيلم**
**Flare-up of osteoarthritis**,**تفاقم التهاب المفاصل التنكسية**
"**For 2.5 or 10 mg dose, it is estimated to be 80% to 100% and is not affected by food**",**لجرعة ٢.٥ أو ١٠ ملغ، يقدر ب٨٠٪ إلى ١٠٠٪ ولا يتأثر بالطعام**
"**For 20 mg dose, the absolute bioavailability is approximately 66% in the fasted state**",**لجرعة ٢٠ ملغ، التوافر الحيوي المطلق حوالي ٦٦٪ في حالة الصيام**
"**For patients with creatinine clearance <30 ml/min, the dosage interval should be increased to 12 hours**",**لمرضى تصفية الكرياتينين <٣٠ مل/دقيقة، يجب زيادة فترة الجرعة إلى ١٢ ساعة**
**For the relief of signs and symptoms of osteoarthritis with gastric protection**,**لتخفيف علامات وأعراض التهاب المفاصل التنكسية مع حماية معدية**
**For the treatment of major depressive episodes in adults**,**لعلاج نوبات الاكتئاب الرئيسية عند البالغين**
**Furosemide**,**فوروسمايد**
**Gastric Lavage**,**غسل المعدة**
**Gastric Protection**,**حماية معدية**
**Gastrointestinal Bleeding**,**نزف معدي معوي**
**Gastrointestinal Irritation**,**تهيج الجهاز الهضمي**
**Geriatric Use**,**استخدام للمسنين**
**Gingivitis**,**التهاب اللثة**
**Guaifenesin**,**غوايفينيسين**
**Half-life of clopidogrel is approximately 6 hours. The half-life of the active metabolite is about 30 minutes**,**نصف عمر كلوبيدوغريل حوالي ٦ ساعات. نصف عمر المستقلب الفعال حوالي ٣٠ دقيقة**
**HAMA PHARMA**,**حماة فارما**
**Head Injury**,**إصابة في الرأس**
**Hepatic impairment**,**قصور كبدي / اعتلال كبدي**
"**Hepatic Impairment: Divide dose or extend interval to 12 hours, contraindicated in severe impairment**",**قصور كبدي: قسم الجرعة أو اطلب الفترة إلى ١٢ ساعة، مضاد استطباب في القصور الشديد**
**History of gastrointestinal bleeding or perforation**,**تاريخ من نزف معدي معوي أو انثقاب**
**HPMC (Hydroxypropyl Methylcellulose)**,**هيدروكسيبروبيل ميثيل سيلولوز**
**Hydrochlorothiazide**,**هايدروكلوروثيازيد**
**Hydrochlorthiazide**,**هايدروكلوروثيازيد**
**Hyperglycemia / Diabetes Mellitus**,**فرط سكر الدم / مرض السكري**
**Hyperreflexia**,**فرط المنعكسات**
"**Hypersensitivity to clopidogrel, salicylates or NSAIDs**",**فرط الحساسية لكلوبيدوغريل، الساليسيلات أو مضادات الالتهاب غير الستيرويدية**
**Hypersensitivity to the active substance or to any of the excipients**,**فرط الحساسية للمادة الفعالة أو لأي من السواغات**
**Hypersensitivity to the drug or its components**,**فرط الحساسية للمادة الفعالة أو أي من مكونات الدواء**
**Hypersensitivity**,**فرط الحساسية**
**Hypertension**,**ارتفاع ضغط الدم**
**Hypotension**,**انخفاض ضغط الدم**
"**In severe hepatic impairment, the product is contraindicated**",**في القصور الكبدي الشديد، المنتج مضاد استطباب**
**Increased Intracranial Pressure**,**زيادة ضغط داخل الجمجمة**
**Increased mortality in elderly patients with dementia-related psychosis**,**زيادة معدل الوفيات لدى المرضى المسنين المصابين بذهان مرتبط بالخرف**
**Increased Mortality in Elderly Patients**,**زيادة معدل الوفيات لدى المرضى المسنين**
**Indications**,**استطبابات**
"**Indications: Anti-bacterial, Gingivitis**",**استطبابات: مضاد بكتيري، التهاب اللثة**
**Indications: Central Acting Analgesic**,**استطبابات: مسكن ألم مركزي التأثير**
**Indications: Sleep disorders**,**استطبابات: اضطرابات النوم**
**Indications: Treatment of moderate to severe pain**,**الاستطبابات: علاج الألم المتوسط إلى الشديد**
**Indirectly inhibits platelet aggregation induced by thrombin**,**يثبط بشكل غير مباشر تجمع الصفيحات المحفز بالثرومبين**
**Inhibition of neuronal reuptake of noradrenaline (norepinephrine) and enhancement of serotonin release**,**تثبيط إعادة امتصاص نورادرينالين (نورإبينيفرين) وتعزيز إطلاق السيروتونين**
**Inhibition of prostaglandin biosynthesis**,**تثبيط تخليق البروستاغلاندين**
**Inhibition of the cyclooxygenase enzyme**,**تثبيط إنزيم السيكلوأوكسيجيناز**
**Inhibits free FXa and prothrombinase activity**,**يثبط عامل Xa الحر ونشاط البروثرومبيناز**
**Initial Dose**,**الجرعة الأولية**
**Iron Oxide Yellow/Red**,**أكسيد الحديد الأصفر/الأحمر**
**Irritability associated with autistic disorder**,**التهيج المرتبط باضطراب التوحد**
**its consumption contrary to instructions is dangerous for you**,**استخدامه خلاف التعليمات يعرضك للخطر**
**Keep away from humidity**,**يحفظ بعيدًا عن الرطوبة**
**Keep away from light**,**يحفظ بعيدًا عن الضوء**
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**
**Keep out of reach of children**,**يحفظ بعيدًا عن متناول الأطفال**
**Ketoconazole**,**كيتوكونازول**
**Ketotifen (as Hydrogen Fumarate)**,**كيتوتيفين (على شكل فومارات هيدروجين)**
**KETOTIFEN HAMA PHARMA (Ketotifen 1 mg as Hydrogen Fumarate) (Tablets)**,**كيتوتيفين هاما فارما (كيتوتيفين ١ ملغ على شكل فومارات هيدروجين) (أقراص)**
**KETOTIFEN HAMA PHARMA**,**كيتوتيفين حماة فارما**
**Lactose Monohydrate**,**لاكتوز أحادي الماء**
**Last trimester of pregnancy**,**الثلث الأخير من الحمل**
**Leukopenia**,**نقص الكريات البيضاء**
**Linagliptin**,**ليناغليبتين**
**Liver damage is possible in adults who have taken 10g or more of paracetamol**,**تلف الكبد ممكن لدى البالغين الذين تناولوا ١٠ جرام أو أكثر من الباراسيتامول**
**Loop Diuretics**,**مدرات البول العروية**
**Magnesium Stearate**,**ستيرات المغنيسيوم**
**Maintenance Dose**,**الجرعة الصيانة**
**Maintenance treatment: Periodically reassess to determine the continued need**,**العلاج الصيانى: إعادة تقييم دورية لتحديد الحاجة المستمرة**
**Maize starch**,**نشاء الذرة**
**Major Depressive Disorder**,**اضطراب اكتئابي كبير**
"**Management of overdosage: Activated charcoal, cardiac monitoring, supportive therapy**",**إدارة فرط الجرعة: الفحم المنشط، مراقبة القلب، العلاج الداعم**
"**Management of Overdosage: Maintain airway, cardiovascular function, naloxone for respiratory depression, diazepam for fits, activated charcoal/gastric lavage within 2 hours**",**إدارة فرط الجرعة: الحفاظ على مجرى الهواء، وظائف القلب والأوعية الدموية، نالوكسون لكبت التنفس، ديازيبام للاختلاجات، الفحم المنشط/غسل المعدة خلال ٢ ساعة**
**Manic Episode**,**نوبة هوسية**
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: حماة فارما - حماة - سوريا**
**MAO Inhibitors (Monoamine Oxidase Inhibitors)**,**مثبطات مونوأمين أوكسيداز**
**MAO Inhibitors**,**مثبطات مونوأمين أوكسيداز**
**Maximum concentrations (Cmax) appear 2 to 4 hours after tablet intake**,**التركيزات القصوى (Cmax) تظهر بعد ٢ إلى ٤ ساعات من تناول القرص**
**Maximum Daily Dose**,**الجرعة اليومية القصوى**
**Mechanism of Action**,**آلية التأثير**
**Medication-Overuse Headache (MOH)**,**صداع ناجم عن إفراط في استخدام المسكنات**
**Metabolic Changes**,**تغيرات استقلابية**
