en,ar,source
shortness of breath,ضيق التنفس,AGILOMOX
liver function tests,اختبارات وظائف الكبد,AGILOMOX
breastfeeding,الإرضاع,AGILOMOX
metabolism,الاستقلاب,AGILOMOX
adverse effect,الأثر الضار,AGILOMOX
Pharmacokinetics,الحرائك الدوائية,pricksage_gemini
Adverse Reactions,التفاعلات الضارة,ALOGLIPTIN
Film-Coated Tablets,أقراص ملبسة بالفيلم,pricksage_gemini
without food,بدون طعام,ALOGLIPTIN
excretion,الإطراح,ALOGLIPTIN
distribution,التوزع,ALOGLIPTIN
recommended dose,الجرعة الموصى بها,ALOGLIPTIN
Pharmacokinetics,الحرائك,ALOGLIPTIN
Mechanism of Action,آلية,ALOGLIPTIN
Contraindications,مضادات الاستطباب,ALOGLIPTIN
Special Warnings,تحذيرات خاصة,ANTI-STONE
twice daily,مرتين يومياً,ANTI-STONE
capsules,كبسولات,ANTI-TUSSIVE_HAMA_PHARMA
Presentation,التغليف,ARIPIPRAZOLE_HAMA_PHARMA
insomnia,أرق,ARIPIPRAZOLE_HAMA_PHARMA
elderly patients,المرضى المسنين,ARIPIPRAZOLE_HAMA_PHARMA
placebo,دواء وهمي,ARIPIPRAZOLE_HAMA_PHARMA
efficacy,الفاعلية,ARIPIPRAZOLE_HAMA_PHARMA
oral administration,يعطى عن طريق الفم,ARTHROBYE
active ingredient,المادة الفعالة,ARTHROBYE
Bioavailability,التوافر الحيوي,pricksage_gemini
Pediatric Population,الأطفال,CIPROFLOXACIN_HAMA_PARMA
gel,جل,CIPROFLOXACIN_HAMA_PARMA
solution,محلول,CLOZAPINE_HAMA_PHARMA
chest pain,ألم صدري,CLOZAPINE_HAMA_PHARMA
blood count,تعداد الدم,CLOZAPINE_HAMA_PHARMA
maximum dose,الجرعة القصوى,CLOZAPINE_HAMA_PHARMA
at bedtime,قبل النوم,DICLOFENAC_HAMA_PHARMA
Pregnancy and lactation,الحمل والإرضاع,pricksage_gemini
before meals,قبل الوجبات,FAST-VOL
palpitations,خفقان,FAST-VOL
protein binding,الارتباط بالبروتين,FAST-VOL
drug interaction,التداخل الدوائي,FAST-VOL
with food,مع الطعام,FEDROFEN
as directed,حسب التوجيهات,FERULA
Posology And Method Of Administration,الجرعة وطريقة الاستعمال,FUROLACT
injection,حقن,FUROLACT
three times daily,ثلاث مرات يومياً,GLUCOBYE
consult your doctor,استشر طبيبك,HAMA_PHARMA_C_and_Z
withdrawal symptoms,أعراض الانسحاب,IMPROMOOD_SR
Effects On Ability To Drive,التأثير على القدرة على القيادة,KETOTIFEN_HAMA_PHARMA
Use In Pregnancy,الاستعمال خلال الحمل,METRONIDAZOLE_HAMA_PHARMA
Pharmacological Properties,الخصائص الصيدلانية,MULER
patch,لصقة,MULER
side effect,الأثر الجانبي,NODEMENT
cream,كريم,ORLISTAT_HAMA_PHARMA
paediatric patients,المرضى الأطفال,PLEXADOL
Overdosage/Toxicity,فرط الجرعة/السمية,PRICKSAGE
Use In Paediatric,الاستعمال عند الأطفال,PRICKSAGE
therapeutic effect,التأثير العلاجي,ROVALTRO
after meals,بعد الوجبات,TRIOVITABIN
tolerability,التحمل,VALSABITRIL
store below 25°c,يحفظ تحت 25 درجة مئوية,WELL_FER
PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets),بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ),pricksage_gemini
Agomelatine,أجوميلاتين,pricksage_gemini
Hepatic impairment,قصور كبدي / اعتلال كبدي,pricksage_gemini
Adverse reactions,ردود الفعل السلبية,pricksage_gemini
Liver injury,إصابة الكبد,pricksage_gemini
Suicidal thoughts,أفكار انتحارية,pricksage_gemini
Paediatric population,الأطفال,pricksage_gemini
Renal impairment,اعتلال كلوي,pricksage_gemini
Overdosage/Toxicity,فرط الجرعة / السمية,pricksage_gemini
**Film-Coated Tablets**,**أقراص ملبسة بالفيلم**,updated_dosage_forms
**Dispersible tablets**,**أقراص قابلة للتشتت**,updated_dosage_forms
**(Council of Arab Health Ministers)**,**(مجلس وزراء الصحة العرب)**,updated_general
**(Arab Pharmacists Association)**,**(اتحاد الصيدليين العرب)**,updated_general
**Agomelatine**,**أجوميلاتين**,medical_terms_extended
**Aripiprazole**,**أريبيبرازول**,medical_terms_extended
**Paracetamol / Acetaminophen**,**باراسيتامول**,medical_terms_extended
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**,medical_terms_extended
**Diclofenac Sodium**,**ديكلوفيناك صوديوم**,medical_terms_extended
**Tramadol Hydrochloride**,**ترامادول هيدروكلوريد**,medical_terms_extended
**Armodafinil**,**أرمودافينيل**,medical_terms_extended
**Clozapine**,**كلوزابين**,medical_terms_extended
**Misoprostol**,**ميزوبروستول**,medical_terms_extended
**Diltiazem Hydrochloride**,**ديلتيازيم هيدروكلوريد**,medical_terms_extended
**Enalapril Maleate**,**ينالابريل مالات**,medical_terms_extended
**Hydrochlorothiazide**,**هايدروكلوروثيازيد**,medical_terms_extended
**Spironolactone**,**سبيرونولاكتون**,medical_terms_extended
**Furosemide**,**فوروسمايد**,medical_terms_extended
**Metronidazole**,**مترونيدازول**,medical_terms_extended
**Spiramycin**,**سبيرامايسين**,medical_terms_extended
**Oxomemazine**,**أوكسوميمازين**,medical_terms_extended
**Guaifenesin**,**غوايفينيسين**,medical_terms_extended
**Pseudoephedrine Hydrochloride**,**سودوإيفيدرين هيدروكلوريد**,medical_terms_extended
**Triprolidine Hydrochloride**,**تريبوليدين هيدروكلوريد**,medical_terms_extended
**Pizotifen (as Hydrogen Maleate)**,**بيزوتيفين (على شكل ماليات هيدروجين)**,medical_terms_extended
**Ketotifen (as Hydrogen Fumarate)**,**كيتوتيفين (على شكل فومارات هيدروجين)**,medical_terms_extended
**Vitamin C / Ascorbic Acid**,**فيتامين C / حمض الأسكوربيك**,medical_terms_extended
**Vitamin B1 (Thiamine)**,**فيتامين B1 (ثيامين)**,medical_terms_extended
**Vitamin B6 (Pyridoxine)**,**فيتامين B6 (بيريدوكسين)**,medical_terms_extended
**Vitamin B12 (Cyanocobalamin)**,**فيتامين B12 (سيانوكوبالامين)**,medical_terms_extended
**Sustained-Release Capsules**,**كبسولات ممتدة المفعول**,medical_terms_extended
**Excipients**,**السواغات**,medical_terms_extended
**Microcrystalline Cellulose**,**السليلوز البلوري المجهري**,medical_terms_extended
**Lactose Monohydrate**,**لاكتوز أحادي الماء**,medical_terms_extended
**Magnesium Stearate**,**ستيرات المغنيسيوم**,medical_terms_extended
**Sodium Starch Glycolate**,**نشاء الصوديوم غليكولات**,medical_terms_extended
**Pregelatinized Starch**,**نشاء مسبق التجلط**,medical_terms_extended
**Corn Starch**,**نشاء الذرة**,medical_terms_extended
**HPMC (Hydroxypropyl Methylcellulose)**,**هيدروكسيبروبيل ميثيل سيلولوز**,medical_terms_extended
**Polysorbate 80**,**بوليسوربات ٨٠**,medical_terms_extended
**Carnauba Wax**,**شمع كارناوبا**,medical_terms_extended
**Iron Oxide Yellow/Red**,**أكسيد الحديد الأصفر/الأحمر**,medical_terms_extended
**Polyethylene Glycol**,**بولي إيثيلين غليكول**,medical_terms_extended
**Titanium Dioxide**,**ثاني أكسيد التيتانيوم**,medical_terms_extended
**Sodium Benzoate**,**بنزوات الصوديوم**,medical_terms_extended
**Mechanism of Action**,**آلية التأثير**,medical_terms_extended
**Pharmacodynamics**,**الديناميكا الدوائية**,medical_terms_extended
**Pharmacokinetics**,**الحرائك الدوائية**,medical_terms_extended
**Absorption**,**الامتصاص**,medical_terms_extended
**Bioavailability**,**التوافر الحيوي**,medical_terms_extended
**Plasma Protein Binding**,**الارتباط ببروتينات البلازما**,medical_terms_extended
**Metabolism**,**الاستقلاب**,medical_terms_extended
**Peak Plasma Concentration (Cmax)**,**التركيز الأقصى في البلازما**,medical_terms_extended
**Area Under Curve (AUC)**,**مساحة تحت المنحنى**,medical_terms_extended
**Blood-Brain Barrier**,**حاجز دم-دماغ**,medical_terms_extended
**Placental Barrier**,**حاجز المشيمة**,medical_terms_extended
**Enzyme Inhibitor**,**مثبط إنزيم**,medical_terms_extended
**Enzyme Inducer**,**محفز إنزيم**,medical_terms_extended
**Active Metabolite**,**مستقلب فعال**,medical_terms_extended
**O-desmethyl Derivative**,**مشتق منزوع الميثيل**,medical_terms_extended
**Indications**,**استطبابات**,medical_terms_extended
**Contraindications**,**مضادات الاستطباب**,medical_terms_extended
**Side Effects / Adverse Reactions**,**الآثار الجانبية / ردود الفعل السلبية**,medical_terms_extended
**Hypersensitivity**,**فرط الحساسية**,medical_terms_extended
**Allergic Reactions**,**ردود فعل تحسسية**,medical_terms_extended
**Anaphylaxis**,**صدمة تحسسية**,medical_terms_extended
**Tachycardia**,**تسارع القلب**,medical_terms_extended
**Bradycardia**,**بطء القلب**,medical_terms_extended
**Hypotension**,**انخفاض ضغط الدم**,medical_terms_extended
**Hypertension**,**ارتفاع ضغط الدم**,medical_terms_extended
**Postural Hypotension**,**انخفاض ضغط الدم الوضعي**,medical_terms_extended
**Cardiovascular Collapse**,**وهط قلب وعائي**,medical_terms_extended
**Respiratory Depression**,**كبت التنفس**,medical_terms_extended
**Seizures / Convulsions**,**نوبات صرعية / اختلاجات**,medical_terms_extended
**Hyperreflexia**,**فرط المنعكسات**,medical_terms_extended
**Dry Mouth**,**جفاف الفم**,medical_terms_extended
**Gastrointestinal Irritation**,**تهيج الجهاز الهضمي**,medical_terms_extended
**Miosis**,**تضييق حدقة العين**,medical_terms_extended
**Serotonin Syndrome**,**متلازمة السيروتونين**,medical_terms_extended
**Withdrawal Symptoms**,**أعراض الانسحاب**,medical_terms_extended
**Drug Dependence**,**اعتمادية دوائية**,medical_terms_extended
**Overdosage / Overdose**,**فرط الجرعة**,medical_terms_extended
**Major Depressive Disorder**,**اضطراب اكتئابي كبير**,medical_terms_extended
**Bipolar Disorder**,**اضطراب ثنائي القطب**,medical_terms_extended
**Manic Episode**,**نوبة هوسية**,medical_terms_extended
**Mixed Episode**,**نوبة مختلطة**,medical_terms_extended
**Autistic Disorder**,**اضطراب التوحد**,medical_terms_extended
**Tourette's Disorder**,**اضطراب توريت**,medical_terms_extended
**Sleep Disorders**,**اضطرابات النوم**,medical_terms_extended
**Osteoarthritis**,**التهاب المفاصل التنكسية**,medical_terms_extended
**Gastric Protection**,**حماية معدية**,medical_terms_extended
**Peptic Ulcer**,**قرحة هضمية**,medical_terms_extended
**Gastrointestinal Bleeding**,**نزف معدي معوي**,medical_terms_extended
**Severe Hepatic Impairment**,**قصور كبدي شديد**,medical_terms_extended
**Severe Renal Impairment**,**قصور كلوي شديد**,medical_terms_extended
**Severe Respiratory Impairment**,**قصور تنفسي شديد**,medical_terms_extended
**Head Injury**,**إصابة في الرأس**,medical_terms_extended
**Increased Intracranial Pressure**,**زيادة ضغط داخل الجمجمة**,medical_terms_extended
**Decreased Level of Consciousness**,**انخفاض مستوى الوعي**,medical_terms_extended
**Coronal Ischemia**,**نقص تروية الشريان التاجي**,medical_terms_extended
**Cerebrovascular Disease**,**أمراض دماغية وعائية**,medical_terms_extended
**Dementia-Related Psychosis**,**ذهان مرتبط بالخرف**,medical_terms_extended
**Suicidal Thoughts and Behaviors**,**أفكار وسلوكيات انتحارية**,medical_terms_extended
**Respiratory Diseases**,**أمراض تنفسية**,medical_terms_extended
**Decongestant**,**مزيل احتقان**,medical_terms_extended
**Gingivitis**,**التهاب اللثة**,medical_terms_extended
**Anti-bacterial**,**مضاد بكتيري**,medical_terms_extended
**Analgesics**,**مسكنات الألم**,medical_terms_extended
**Central Acting Analgesic**,**مسكن ألم مركزي التأثير**,medical_terms_extended
**Opioid Analgesics**,**مسكنات أفيونية**,medical_terms_extended
**NSAIDs (Non-Steroidal Anti-Inflammatory Drugs)**,**مضادات الالتهاب غير الستيرويدية**,medical_terms_extended
**Antipsychotics**,**مضادات الذهان**,medical_terms_extended
**Atypical Antipsychotics**,**مضادات ذهان غير نمطية**,medical_terms_extended
**Antidepressants**,**مضادات الاكتئاب**,medical_terms_extended
**Tricyclic Antidepressants**,**مضادات الاكتئاب ثلاثية الحلقات**,medical_terms_extended
**SSRIs (Selective Serotonin Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين الانتقائية**,medical_terms_extended
**SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين والنورادرينالين**,medical_terms_extended
**MAO Inhibitors (Monoamine Oxidase Inhibitors)**,**مثبطات مونوأمين أوكسيداز**,medical_terms_extended
**Antihypertensives**,**أدوية خافضة لضغط الدم**,medical_terms_extended
**Diuretics**,**مدرات البول**,medical_terms_extended
**Thiazide Diuretics**,**مدرات البول الثيازيدية**,medical_terms_extended
**Loop Diuretics**,**مدرات البول العروية**,medical_terms_extended
**Potassium-Sparing Diuretics**,**مدرات البول الحافظة للبوتاسيوم**,medical_terms_extended
**ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors)**,**مثبطات الإنزيم المحول للأنجيوتنسين**,medical_terms_extended
**Calcium Channel Blockers**,**حاصر قنوات الكالسيوم**,medical_terms_extended
**Antibiotics**,**مضادات حيوية**,medical_terms_extended
**Antihistamines**,**مضادات هيستامين**,medical_terms_extended
**Expectorants**,**طاردات للبلغم**,medical_terms_extended
**Decongestants**,**مزيلات الاحتقان**,medical_terms_extended
**Proton Pump Inhibitors**,**مثبطات مضخة البروتون**,medical_terms_extended
**Antioxidants**,**مضادات الأكسدة**,medical_terms_extended
**Increased Mortality in Elderly Patients**,**زيادة معدل الوفيات لدى المرضى المسنين**,medical_terms_extended
**Cerebrovascular Adverse Events**,**أحداث قلبية وعائية سلبية**,medical_terms_extended
**Neuroleptic Malignant Syndrome (NMS)**,**متلازمة الخباث الأفيوني (NMS)**,medical_terms_extended
**Tardive Dyskinesia**,**خلل الحركة المتأخر**,medical_terms_extended
**Metabolic Changes**,**تغيرات استقلابية**,medical_terms_extended
**Hyperglycemia / Diabetes Mellitus**,**فرط سكر الدم / مرض السكري**,medical_terms_extended
**Dyslipidemia**,**اضطراب دهني**,medical_terms_extended
**Body Weight Gain**,**زيادة الوزن**,medical_terms_extended
**Orthostatic Hypotension**,**انخفاض ضغط الدم الوضعي**,medical_terms_extended
**Leukopenia**,**نقص الكريات البيضاء**,medical_terms_extended
**Neutropenia**,**نقص العدلات**,medical_terms_extended
**Agranulocytosis**,**نقص الكريات المحببة**,medical_terms_extended
**Seizure Threshold**,**عتبة الاختلاج**,medical_terms_extended
**Cognitive and Motor Impairment**,**إعاقة معرفية وحركية**,medical_terms_extended
**Body Temperature Regulation**,**تنظيم درجة حرارة الجسم**,medical_terms_extended
**Dysphagia**,**صعوبة البلع**,medical_terms_extended
**Esophageal Dysmotility**,**اضطراب حركية المريء**,medical_terms_extended
**Aspiration Pneumonia**,**التهاب رئوي استشاقي**,medical_terms_extended
**Alcoholics**,**مدمنو الكحول**,medical_terms_extended
**Medication-Overuse Headache (MOH)**,**صداع ناجم عن إفراط في استخدام المسكنات**,medical_terms_extended
**Drug Interactions**,**التداخلات الدوائية**,medical_terms_extended
**MAO Inhibitors**,**مثبطات مونوأمين أوكسيداز**,medical_terms_extended
**CNS Depressants**,**مثبطات الجهاز العصبي المركزي**,medical_terms_extended
**Carbamazepine**,**كاربامازيبين**,medical_terms_extended
**Cimetidine**,**سيميتيدين**,medical_terms_extended
**Buprenorphine**,**بوبرينورفين**,medical_terms_extended
**Nalbuphine**,**نالبوفين**,medical_terms_extended
**Pentazocine**,**بنتازوسين**,medical_terms_extended
**Mixed Agonist/Antagonists**,**ناظم/مضاد مختلط**,medical_terms_extended
**Coumarin Derivatives (Warfarin)**,**مشتقات الكومارين (وارفارين)**,medical_terms_extended
**Ketoconazole**,**كيتوكونازول**,medical_terms_extended
**Erythromycin**,**إريثرومايسين**,medical_terms_extended
**Bupropion**,**بوبروبيون**,medical_terms_extended
**Mirtazapine**,**ميرتازابين**,medical_terms_extended
**Tetrahydrocannabinol**,**تتراهيدروكانابينول**,medical_terms_extended
**Naloxone**,**نالوكسون**,medical_terms_extended
**Diazepam**,**ديازيبام**,medical_terms_extended
**Activated Charcoal**,**الفحم المنشط**,medical_terms_extended
**Gastric Lavage**,**غسل المعدة**,medical_terms_extended
**Pediatric Use**,**استخدام للأطفال**,medical_terms_extended
**Geriatric Use**,**استخدام للمسنين**,medical_terms_extended
**Breast Milk**,**حليب الثدي**,medical_terms_extended
**Teratogenicity**,**تسبب التشوهات الجنينية**,medical_terms_extended
**Dosage and Administration**,**الجرعة وطريقة الاستعمال**,medical_terms_extended
**Recommended Dose**,**الجرعة الموصى بها**,medical_terms_extended
**Initial Dose**,**الجرعة الأولية**,medical_terms_extended
**Maintenance Dose**,**الجرعة الصيانة**,medical_terms_extended
**Maximum Daily Dose**,**الجرعة اليومية القصوى**,medical_terms_extended
**Dosage Adjustment**,**تعديل الجرعة**,medical_terms_extended
**Dosage Interval**,**فترة الجرعة**,medical_terms_extended
**Missed Dose**,**جرعة منسية**,medical_terms_extended
**Overdosage Management**,**إدارة فرط الجرعة**,medical_terms_extended
**Carton Box**,**علبة كرتون**,medical_terms_extended
**Storage Conditions**,**شروط الحفظ**,medical_terms_extended
**Store at room temperature**,**يحفظ في درجة حرارة الغرفة**,medical_terms_extended
**Store in a dry place**,**يحفظ في مكان جاف**,medical_terms_extended
**Keep away from light**,**يحفظ بعيدًا عن الضوء**,medical_terms_extended
**Keep away from humidity**,**يحفظ بعيدًا عن الرطوبة**,medical_terms_extended
**Prescription Only Medicine**,**يصرف بموجب وصفة طبية**,medical_terms_extended
**Do not interrupt treatment**,**لا تقاطع فترة العلاج**,medical_terms_extended
**Council of Arab Health Ministers**,**مجلس وزراء الصحة العرب**,medical_terms_extended
**Arab Pharmacists Association**,**اتحاد الصيدليين العرب**,medical_terms_extended
**CLOZAPINE HAMA PHARMA (Tablets)**,**كلوزابين هاما فارما (أقراص)**,leaflet_content_detailed
**FEM-RELIEVE (Film-Coated Tablets)**,**فيم-ريليف (أقراص ملبسة بالفيلم)**,leaflet_content_detailed
**VITOREX (Pizotifen 0.5 mg) (Capsules)**,**فيتوركس (بيزوتيفين ٠.٥ ملغ) (كبسولات)**,leaflet_content_detailed
**Passes blood-brain and placental barriers**,**يعبر حاجز دم-دماغ وحاجز المشيمة**,leaflet_content_detailed
**Anticoagulant**,**مضاد تخثر**,updated_indications
**Treatment of Pulmonary Embolism (PE)**,**علاج الانسداد الرئوي**,updated_indications
**Unstable angina (UA)**,**ذبحة غير مستقرة**,updated_indications
**Non-ST elevation myocardial infarction (NSTEMI)**,**احتشاء عضلة القلب بدون ارتفاع القطعة ST**,updated_indications
**Post-operative inflammation and pain**,**التهاب وألم ما بعد الجراحة**,updated_indications
**Sprains**,**الالتواء**,updated_indications
**Flare-up of osteoarthritis**,**تفاقم التهاب المفاصل التنكسية**,updated_indications
**Acute attacks of gout**,**نوبات حادة من النقرس**,updated_indications
**Non-articular rheumatism**,**الروماتيزم غير المفصلي**,updated_indications
**Primary dysmenorrhoea**,**عسر طمث أولي**,updated_indications
**Adnexitis**,**التهاب الملحقات**,updated_indications
**Pharyngotonsillitis**,**التهاب البلعوم واللوزتين**,updated_indications
**Otitis**,**التهاب الأذن الوسطى**,updated_indications
"**Anti-bacterial, Gingivitis**",**مضاد بكتيري، التهاب اللثة**,updated_indications
**Antidiabetic**,**مضاد السكري**,updated_indications
"**Cerebrovascular adverse events, including stroke**",**أحداث قلبية وعائية سلبية، بما في ذلك السكتة الدماغية**,warnings
**Decreases thrombin generation**,**يقلل من توليد الثرومبين**,updated_mechanism
**Inhibition of the cyclooxygenase enzyme**,**تثبيط إنزيم السيكلوأوكسيجيناز**,updated_mechanism
**Decreased formation of thromboxane A2**,**انخفاض تكوين الثرومبوكسان A2**,updated_mechanism
**Inhibition of prostaglandin biosynthesis**,**تثبيط تخليق البروستاغلاندين**,updated_mechanism
**PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets)**,**بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ)**,leaflet_content_basic
**Bioavailability: 87%**,**التوافر الحيوي: ٨٧٪**,leaflet_content_basic
**Treatment of schizophrenia**,**علاج الفصام**,leaflet_content_basic
**Irritability associated with autistic disorder**,**التهيج المرتبط باضطراب التوحد**,leaflet_content_basic
**Treatment of Tourette's disorder**,**علاج اضطراب توريت**,leaflet_content_basic
**Analgesics (for pain relief)**,**مسكنات الألم**,leaflet_content_basic
**Anti-inflammatory**,**مضادات الالتهاب**,leaflet_content_basic
**Diuretic**,**مدر للبول**,leaflet_content_basic
**Antioxidant**,**مضاد للأكسدة**,leaflet_content_basic
**Nausea and dizziness**,**الغثيان والدوار**,leaflet_content_basic
"**Tachycardia, hypertension, hypotension, leukopenia, neutropenia**",**خفقان القلب، ارتفاع ضغط الدم، انخفاض ضغط الدم، نقص الكريات البيضاء، نقص العدلات**,leaflet_content_basic
**Suicidal thoughts and behaviors**,**أفكار انتحارية وسلوكيات**,leaflet_content_basic
"**Dysphagia, esophageal dysmotility, aspiration pneumonia**",**صعوبة البلع، اضطراب حركية المريء، التهاب رئوي استشاقي**,leaflet_content_basic
**Warnings and Precautions**,**تحذيرات واحتياطات**,leaflet_content_basic
**1 tablet 3 times/day**,**قرص واحد ٣ مرات يوميًا**,leaflet_content_basic
**Overdosage / Toxicity**,**فرط الجرعة / السمية**,leaflet_content_basic
**Naproxen**,**نابروكسين**,medical_terms_basic
**Esomeprazole**,**إيزوميبرازول**,medical_terms_basic
**Hydrochlorthiazide**,**هايدروكلوروثيازيد**,medical_terms_basic
**Maize starch**,**نشاء الذرة**,medical_terms_basic
**Peak plasma concentration**,**التركيز الأقصى في البلازما**,medical_terms_basic
**Anaphylaxis**,**الصدمة التحسسية**,medical_terms_basic
**Akathisia**,**أكاثيزيا (اضطراب حركي)**,medical_terms_basic
**Tachycardia**,**خفقان القلب**,medical_terms_basic
**Hepatic impairment**,**قصور كبدي / اعتلال كبدي**,medical_terms_basic
**Renal impairment**,**اعتلال كلوي**,medical_terms_basic
**Cardiovascular disease**,**أمراض قلبية وعائية**,medical_terms_basic
**Depression / Major Depressive Disorder**,**اكتئاب / اضطراب اكتئابي كبير**,medical_terms_basic
**Suicidal thoughts**,**أفكار انتحارية**,medical_terms_basic
**Suicidality**,**سلوك انتحاري**,medical_terms_basic
**Overdosage**,**فرط الجرعة**,medical_terms_basic
**Antihypertensive Drugs**,**أدوية خافضة لضغط الدم**,medical_terms_basic
**Benzodiazepines**,**بنزوديازيبينات**,medical_terms_basic
**Antibacterial**,**مضاد للبكتيريا**,medical_terms_basic
**Central Acting Analgesic**,**مسكن الألم المركزي**,medical_terms_basic
**Room temperature**,**درجة حرارة الغرفة**,medical_terms_basic
**HAMA PHARMA**,**حماة فارما**,drug_names
**TRAMADOL HAMA PHARMA**,**ترامادول حماة فارما**,drug_names
**AGILOMOX**,**أجيلوموكس**,drug_names
**ARIPIPRAZOLE HAMA PHARMA**,**أريبيبرازول حماة فارما**,drug_names
**NIVOLTIC**,**نيفولتيك**,drug_names
**NODEMENT**,**نوديمينت**,drug_names
**METRONIDAZOLE PLUS HAMA PHARMA**,**مترونيدازول بلس حماة فارما**,drug_names
**CLOZAPINE HAMA PHARMA**,**كلوزابين حماة فارما**,drug_names
**FEM-RELIEVE**,**فيم-ريليف**,drug_names
**KETOTIFEN HAMA PHARMA**,**كيتوتيفين حماة فارما**,drug_names
**ULCER-STOP**,**ألكر-ستوب**,drug_names
**DILTIAZEM HAMA PHARMA**,**ديلتيازيم حماة فارما**,drug_names
**ANTI-TUSSIVE**,**مضاد السعال**,drug_names
**FEDROLIDINE**,**فيدروليدين**,drug_names
**ROVALTRO**,**روفالترو**,updated_drug_names
**TROMBO STOP**,**ترومبو ستوب**,updated_drug_names
**Rivaroxaban**,**ريفاروكسبان**,updated_active_ingredients
**Clopidogrel (as Hydrogen Sulphate)**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين)**,updated_active_ingredients
**Paracetamol**,**باراسيتامول**,updated_active_ingredients
**Linagliptin**,**ليناغليبتين**,updated_active_ingredients
Phenobarbital,فينوباربيتال,core_medical_vocabulary
Calcium stearate,ستيترات الكالسيوم,core_medical_vocabulary
Corn starch,نشاء الذرة,core_medical_vocabulary
Anhydrous lactose,لاكتوز لامائي,core_medical_vocabulary
Magnesium stearate,ستيترات المغنيسيوم,core_medical_vocabulary
Colloidal silicon dioxide,ثاني أوكسيد السيليكون الغرويدي,core_medical_vocabulary
Microcrystalline cellulose,ميكروكريستالين سللوز,core_medical_vocabulary
Sodium starch glycolate,غليكوات النشاء الصودية,core_medical_vocabulary
Sodium docusate,صوديوم دوكوسات,core_medical_vocabulary
Lactose monohydrate,لاكتوز مونوهيدرات,core_medical_vocabulary
Long-acting barbiturate,مركب باربيتوري طويل المفعول,core_medical_vocabulary
Central nervous system depressant,مثبط للجملة العصبية المركزية,core_medical_vocabulary
Sedative,مهدئ,core_medical_vocabulary
Anticonvulsant,مضاد للاختلاج,core_medical_vocabulary
Pharmacokinetics,الحركية الدوائية,core_medical_vocabulary
Onset of action,بداية التأثير,core_medical_vocabulary
Duration of action,مدة التأثير,core_medical_vocabulary
Liver,الكبد,core_medical_vocabulary
