en,ar,source,type,section,confidence,hash
bradycardia,بطء نبض القلب,ABESTOL,term,medical_term,high,aadacb22ac3585a7405f63276030c024
renal function,وظائف الكلى,ABESTOL,term,medical_term,high,be983bf5f905b54d3e6eb20c5c632476
pregnancy,الحمل,ABESTOL,term,medical_term,high,dcab6604a44a09e63ae6afcead65fb5c
half-life,عمر النصف,ABESTOL,term,medical_term,high,4756b2ff8db5d3709bae380c85318a2c
absorption,الامتصاص,ABESTOL,term,medical_term,high,6a6cbf443c691bbf386bc816d1634d93
contraindicated,مضاد استطباب,ABESTOL,term,medical_term,high,a30787341c898f24298577c58a462bc0
indicated,مستطب,ABESTOL,term,medical_term,high,8ec08dece6deaba176335e5e316f1d2b
maintenance dose,الجرعة الصيانة,ABESTOL,term,medical_term,high,cba5c3aa5bf89fb80d2bd676b6924167
overdose,فرط الجرعة,ABESTOL,term,medical_term,high,86a69341cf0071b4fff2065e22b6995d
safety,السلامة,ABESTOL,term,medical_term,high,95db3e2b4dc96e25670df887c8e905f1
concomitant use,الاستعمال المتزامن,ABESTOL,term,medical_term,high,41b419f04b2cabae1f1ddb440fe88a15
Composition & Excipients,التركيب,ABESTOL,term,header,high,4f9456ffc9cfe85ce252355e2200f1cf
Contraindications,مضادات,ABESTOL,term,header,high,100c4f7827a5e75cc974277e212065cd
Dosage and Administration,الجرعة,ABESTOL,term,header,high,9860e289d1f1b4b4584b6f4774f14396
Side Effects,الآثار,ABESTOL,term,header,high,83fb966eb6092b8ff2ff33afaab6083f
Overdosage,فرط,ABESTOL,term,header,high,e8891b7327928c854116784e466d5288
Mechanism of action,آلية التأثير,pricksage_gemini,term,gemini_curated,very_high,5c68eca567c3a6b678c7163b4b283b1c
Overdosage,فرط الجرعة,AGILOMOX,term,header,high,f9fed6326dc9ef8a2df3cdd91d36177c
Hepatic Impairment,الاعتلال الكبدي,AGILOMOX,term,header,high,357ff980a95005fe26c3dba13e8abb0d
Undesirable Effects,الآثار غير المرغوبة,AGILOMOX,term,header,high,15fbcfa70fb3ce65db1f274f21a99cc8
keep out of reach of children,يحفظ بعيداً عن متناول الأطفال,AGILOMOX,term,medical_term,high,a57af1e67f16dff62d0ad3f5b3970b72
drowsiness,نعاس,AGILOMOX,term,medical_term,high,2b817d1ce11f06fec25420946b1f61cb
abdominal pain,ألم بطني,AGILOMOX,term,medical_term,high,52cbcae0151a13d5630f88bc2a9bcd8d
itching,حكة,AGILOMOX,term,medical_term,high,0b9bf0e25af9fbda47c10f7f7c6fc4ae
shortness of breath,ضيق التنفس,AGILOMOX,term,medical_term,high,83cabc3e7bc32960016e68cc640e70a9
liver function tests,اختبارات وظائف الكبد,AGILOMOX,term,medical_term,high,140e6a0e1a51ef85d677c1e627cd8d85
breastfeeding,الإرضاع,AGILOMOX,term,medical_term,high,55d1ede70df6852f28315a88a4e9541a
metabolism,الاستقلاب,AGILOMOX,term,medical_term,high,a7bde100226b583aa260a63d87484ec7
adverse effect,الأثر الضار,AGILOMOX,term,medical_term,high,260e6235de01b57f29f485ab0c6425f2
Pharmacokinetics,الحرائك الدوائية,pricksage_gemini,term,gemini_curated,very_high,1c2cef7bfb1824e187a70bd6346d8e70
Adverse Reactions,التفاعلات الضارة,ALOGLIPTIN,term,header,high,2b24c90ea47971d679ff4a075d39e152
Film-Coated Tablets,أقراص ملبسة بالفيلم,pricksage_gemini,term,gemini_curated,very_high,3193378db7cc274f9272cc663b6a1f5a
without food,بدون طعام,ALOGLIPTIN,term,medical_term,high,a4813b602124e341240e6571dd18d3e7
excretion,الإطراح,ALOGLIPTIN,term,medical_term,high,66e28d7adac2e90f3b41ebca4afa3969
distribution,التوزع,ALOGLIPTIN,term,medical_term,high,2dccdeb50e91c103d0aa7ed7fbd84f62
recommended dose,الجرعة الموصى بها,ALOGLIPTIN,term,medical_term,high,25c3a33234637a117dfffac541fdbc5c
Pharmacokinetics,الحرائك,ALOGLIPTIN,term,header,high,e0af21366d5148126ac8b6419bc7c427
Mechanism of Action,آلية,ALOGLIPTIN,term,header,high,a127badf5eeed681b8272df99d25afaa
Contraindications,مضادات الاستطباب,ALOGLIPTIN,term,header,high,e1479e974d29f5f18ca8a846427ce8f6
Special Warnings,تحذيرات خاصة,ANTI-STONE,term,header,high,a50a9a071b742a935a24cf36694ad675
twice daily,مرتين يومياً,ANTI-STONE,term,medical_term,high,7b77833039838fdf3f262b8a9976802f
capsules,كبسولات,ANTI-TUSSIVE_HAMA_PHARMA,term,medical_term,high,ce1ffb6bad9757f7df8e9031ab77bba2
Presentation,التغليف,ARIPIPRAZOLE_HAMA_PHARMA,term,header,high,6284a828036311c42b7f71607882a91c
insomnia,أرق,ARIPIPRAZOLE_HAMA_PHARMA,term,medical_term,high,40bf3999bcd5148a1ef76c796707ae25
elderly patients,المرضى المسنين,ARIPIPRAZOLE_HAMA_PHARMA,term,medical_term,high,8846ce8ec90b8458db85590351ca1931
placebo,دواء وهمي,ARIPIPRAZOLE_HAMA_PHARMA,term,medical_term,high,7eb85f8b3a8c9b7e0f8e1b9bfaf56bfd
efficacy,الفاعلية,ARIPIPRAZOLE_HAMA_PHARMA,term,medical_term,high,77697ec34608cdf63dd4fdde80a653ac
oral administration,يعطى عن طريق الفم,ARTHROBYE,term,medical_term,high,726e9f8d0c444b216414922354b7b466
active ingredient,المادة الفعالة,ARTHROBYE,term,medical_term,high,a4f75581b7cbfc6bded787ccaa813478
Bioavailability,التوافر الحيوي,pricksage_gemini,term,gemini_curated,very_high,654d25805f87e2aa73ae70fd79f02648
Pediatric Population,الأطفال,CIPROFLOXACIN_HAMA_PARMA,term,header,high,3fdddff6d25bfbfb6bd9e3ad52abac61
gel,جل,CIPROFLOXACIN_HAMA_PARMA,term,medical_term,high,698ee8f69271a0e8b3e271d4e47616dc
solution,محلول,CLOZAPINE_HAMA_PHARMA,term,medical_term,high,e50dd86205784cdf845e0b914e528d91
chest pain,ألم صدري,CLOZAPINE_HAMA_PHARMA,term,medical_term,high,cfac2703f004c52faa0e4ef9145e2415
blood count,تعداد الدم,CLOZAPINE_HAMA_PHARMA,term,medical_term,high,ecff32c2a9a8253e96a1e863b8f6a72a
maximum dose,الجرعة القصوى,CLOZAPINE_HAMA_PHARMA,term,medical_term,high,02cf70833e66f45910b2353873bce011
at bedtime,قبل النوم,DICLOFENAC_HAMA_PHARMA,term,medical_term,high,6b298b58e82b4c643f8b04e190025638
Pregnancy and lactation,الحمل والإرضاع,pricksage_gemini,term,gemini_curated,very_high,984ece3aeb416fd10863cece7920dffc
before meals,قبل الوجبات,FAST-VOL,term,medical_term,high,f00dff7c762ba35ccfec89c8daae1d47
palpitations,خفقان,FAST-VOL,term,medical_term,high,8bb259f3356e97117466b23ca4501e91
protein binding,الارتباط بالبروتين,FAST-VOL,term,medical_term,high,61df22e8edc8473d8e3574aa85e89753
drug interaction,التداخل الدوائي,FAST-VOL,term,medical_term,high,cf7792bb28013d69dcc3cfbda24c026a
with food,مع الطعام,FEDROFEN,term,medical_term,high,80039f4a9f89b83212587b5497023c0b
as directed,حسب التوجيهات,FERULA,term,medical_term,high,7c8e101a41058317a159c177637eda21
Posology And Method Of Administration,الجرعة وطريقة الاستعمال,FUROLACT,term,header,high,d6fe011a605977a095da12b03e9d7aff
injection,حقن,FUROLACT,term,medical_term,high,4f743d52b229d813d91d9597a598b8df
three times daily,ثلاث مرات يومياً,GLUCOBYE,term,medical_term,high,c845079de4df6a7eae366bd2c5c6338e
consult your doctor,استشر طبيبك,HAMA_PHARMA_C_and_Z,term,medical_term,high,8a09019415ac11cc9afa1ddb9312796e
withdrawal symptoms,أعراض الانسحاب,IMPROMOOD_SR,term,medical_term,high,1278ffa316acc90843ee73da601e3434
Effects On Ability To Drive,التأثير على القدرة على القيادة,KETOTIFEN_HAMA_PHARMA,term,header,high,951cc8660daa4e1f80fdae178f35124f
Use In Pregnancy,الاستعمال خلال الحمل,METRONIDAZOLE_HAMA_PHARMA,term,header,high,2afcd080959b3c4d3eaa74e9167ed018
Pharmacological Properties,الخصائص الصيدلانية,MULER,term,header,high,8370f7ca6b038eca6850a319a233b437
patch,لصقة,MULER,term,medical_term,high,400f957b9330cb66269ff970e4e06818
side effect,الأثر الجانبي,NODEMENT,term,medical_term,high,e3bb210695bce97e2ba1fb5245b8e278
cream,كريم,ORLISTAT_HAMA_PHARMA,term,medical_term,high,eee3e8e6b7db217213384d40e9d96a5d
paediatric patients,المرضى الأطفال,PLEXADOL,term,medical_term,high,8702400a0d350f94d188cb3a24167c6e
Overdosage/Toxicity,فرط الجرعة/السمية,PRICKSAGE,term,header,high,03dda46a80f366c93ad748b1bd8dc478
Use In Paediatric,الاستعمال عند الأطفال,PRICKSAGE,term,header,high,1d4b0db5f73f780e626d535ea4d3309b
therapeutic effect,التأثير العلاجي,ROVALTRO,term,medical_term,high,59caa9fa15caa0b2524f96ac715d7eb3
after meals,بعد الوجبات,TRIOVITABIN,term,medical_term,high,ae133b11c97ef166ace6d56f6c255333
tolerability,التحمل,VALSABITRIL,term,medical_term,high,55e8058fe238364426ff95181de37f92
store below 25°c,يحفظ تحت 25 درجة مئوية,WELL_FER,term,medical_term,high,1165aa85cb344fce857e27ab5dd33685
PRICKSAGE (Agomelatine 25mg) (Film-Coated Tablets),بريكسيج (أقراص ملبسة بالفيلم) (أجوميلاتين ٢٥ ملغ),pricksage_gemini,term,gemini_curated,very_high,08c4bdb14f1937b8661f4ebbe9bbccfe
Composition & Excipients: Each film-coated tablet contains Agomelatine 25 mg.,التركيب والسواغات: يحوي كل قرص ملبس بالفيلم على: أجوميلاتين ٢٥ ملغ.,pricksage_gemini,sentence,gemini_curated,very_high,6e9d26050dfde6f70f605c215f3373fd
Mechanism of action: Agomelatine is a melatonergic agonist (MT1 and MT2 receptors) and 5-HT2C antagonist.,آلية التأثير: أجوميلاتين هو شاد المستقبلات الميلاتونين MT1 و MT2 وضاد المستقبلات 5-HT2C.,pricksage_gemini,sentence,gemini_curated,very_high,298c4caffe04671330fc6c10e96d7f02
Pharmacokinetics: Agomelatine is rapidly and well absorbed after oral administration.,الحرائك الدوائية: يمتص أجوميلاتين بشكل جيد وسريع بعد تناوله عن طريق الفم.,pricksage_gemini,sentence,gemini_curated,very_high,248a8e8a6a5934414a5d5edf0bbd8608
Indications: PRICKSAGE is used for the treatment of major depressive episodes in adults.,الاستطبابات: يستخدم بريكسيج لمعالجة حوادث الاكتئاب الرئيسي عند البالغين.,pricksage_gemini,sentence,gemini_curated,very_high,36369576166581b244ea72b87cde6cf9
Contraindications: Hypersensitivity to the drug or its components.,مضادات الاستطبابات: فرط التحس للمادة الفعالة أو أي من مكونات الدواء.,pricksage_gemini,sentence,gemini_curated,very_high,09acdebc89cb6407c60ed104d71271fa
The most common adverse reactions were nausea and dizziness.,كانت ردود الفعل السلبية الأكثر شيوعا الغثيان والدوار.,pricksage_gemini,sentence,gemini_curated,very_high,cea4045405a3c6913b2a1de1ec0bdfb8
Monitoring of liver function: Cases of liver injury have been reported.,رصد وظائف الكبد: حالات إصابة الكبد... وقد تم الإبلاغ عنها.,pricksage_gemini,sentence,gemini_curated,very_high,0f2841263276236b4569b068c0e309fc
Dosage and Administration: The recommended dose is one tablet (25 mg) once daily taken orally at bedtime.,الجرعة وطريقة الاستعمال: الجرعة الموصى بها هي قرص في اليوم (٢٥ ملغ) تؤخذ قبل النوم.,pricksage_gemini,sentence,gemini_curated,very_high,519d3cb05008390cca770570f94cb0fd
No dosage tapering is needed on treatment discontinuation.,لا حاجة لتخفيض الجرعة عند التوقف عن العلاج.,pricksage_gemini,sentence,gemini_curated,very_high,6005c41ddae61d3024c0efe71565f716
"Store away from humidity and direct light, in a place of a temperature between 15 -30° C.",شروط الحفظ: يحفظ بعيدا عن الرطوبة والضوء المباشر في مكان لا تتجاوز حرارته ٣٠ درجة.,pricksage_gemini,sentence,gemini_curated,very_high,a3b1dd537a9cd820a3e92d853d4c5351
Agomelatine,أجوميلاتين,pricksage_gemini,term,gemini_curated,very_high,c96fce1e307f5f24cbd96f29d68043b5
Hepatic impairment,قصور كبدي / اعتلال كبدي,pricksage_gemini,term,gemini_curated,very_high,78a167ca05ccc2980d6e2487969fb07e
Adverse reactions,ردود الفعل السلبية,pricksage_gemini,term,gemini_curated,very_high,b356a24b20d5b55f6b897df71d365295
Liver injury,إصابة الكبد,pricksage_gemini,term,gemini_curated,very_high,00d1efdafcc2d4929297119fc544105d
Suicidal thoughts,أفكار انتحارية,pricksage_gemini,term,gemini_curated,very_high,e386eab932b60055adb1492d700cb9d4
Paediatric population,الأطفال,pricksage_gemini,term,gemini_curated,very_high,06a88a9d06e9e255a47f356d67068fd1
Renal impairment,اعتلال كلوي,pricksage_gemini,term,gemini_curated,very_high,05715a543c3046931042f0f1b246ec9b
Overdosage/Toxicity,فرط الجرعة / السمية,pricksage_gemini,term,gemini_curated,very_high,03dda46a80f366c93ad748b1bd8dc478
"**Adverse reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth**",**الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم**,side_effects,sentence,medical_term,high,948b8a5f4019141cb3fbf2d28143b289
"**Adverse reactions: Diarrhea, sweating, pruritus, rash, urticaria, fatigue**",**الآثار الجانبية: إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق**,side_effects,sentence,medical_term,high,198c2aaf115a57b91a42c99506c33ac3
"**Adverse reactions: Cardiovascular regulation (palpitation, tachycardia, postural hypotension or cardiovascular collapse)**",**الآثار الجانبية: تنظيم القلب والأوعية (خفقان، تسارع القلب، انخفاض ضغط الدم الوضعي أو وهط قلب وعائي)**,side_effects,sentence,medical_term,high,3e6af9260611e08425a403b8e11abeb2
"**Adverse reactions: Gastrointestinal irritation (a feeling of pressure in the stomach, bloating)**",**الآثار الجانبية: تهيج الجهاز الهضمي (شعور بالضغط في المعدة، انتفاخ)**,side_effects,sentence,medical_term,high,d1f58289a6f16eb74272168173702391
"**The most commonly reported side-effects are: feeling of sickness, skin reddening, allergic reactions, shortness of breath, swollen facial features, and liver damage**",**كانت ردود الفعل السلبية الأكثر شيوعًا: شعور بالمرض، احمرار الجلد، ردود فعل تحسسية، ضيق في التنفس، تورم في الوجه، وتلف الكبد**,side_effects,sentence,medical_term,high,c190433ee3ec38321362fc96e712c9fe
**Film-Coated Tablets**,**أقراص ملبسة بالفيلم**,updated_dosage_forms,term,medical_term,high,b8d9eec3d885e81421d4d91bd98cc35f
**Dispersible tablets**,**أقراص قابلة للتشتت**,updated_dosage_forms,term,medical_term,high,aae560eee6b4284f55107a7a0fa355c1
"**Each film-coated tablet contains Rivaroxaban 2.5, 10, 15 or 20 mg**",**يحوي كل قرص ملبس بالفيلم ريفاروكسبان ٢.٥، ١٠، ١٥ أو ٢٠ ملغ**,updated_dosage_forms,sentence,medical_term,high,d3eb940a7dbe027f57bce1ba000c6766
**Each dispersible tablet contains Diclofenac Sodium 50 mg**,**يحوي كل قرص قابل للتشتت ديكلوفيناك صوديوم ٥٠ ملغ**,updated_dosage_forms,sentence,medical_term,high,ae5f73e2f838074d694274e398b6d34a
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 75 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ٧٥ ملغ**,updated_dosage_forms,sentence,medical_term,high,4046b53175a283d0d1f7c40176203012
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 100 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٠٠ ملغ**,updated_dosage_forms,sentence,medical_term,high,4046b53175a283d0d1f7c40176203012
**Clopidogrel (as Hydrogen Sulphate) 75 mg / Aspirin 150 mg**,**كلوبيدوغريل (على شكل كبريتات الهيدروجين) ٧٥ ملغ / أسبرين ١٥٠ ملغ**,updated_dosage_forms,sentence,medical_term,high,4046b53175a283d0d1f7c40176203012
**Absorption: The absolute bioavailability of Rivaroxaban is dose-dependent**,**الامتصاص: التوافر الحيوي المطلق لريفاروكسبان يعتمد على الجرعة**,updated_pharmacokinetics,sentence,medical_term,high,166c4b026b00a7d818188f4474f7dc9c
"**For 2.5 or 10 mg dose, it is estimated to be 80% to 100% and is not affected by food**",**لجرعة ٢.٥ أو ١٠ ملغ، يقدر ب٨٠٪ إلى ١٠٠٪ ولا يتأثر بالطعام**,updated_pharmacokinetics,sentence,medical_term,high,6e68577b16f697027a6316bb5022add9
"**For 20 mg dose, the absolute bioavailability is approximately 66% in the fasted state**",**لجرعة ٢٠ ملغ، التوافر الحيوي المطلق حوالي ٦٦٪ في حالة الصيام**,updated_pharmacokinetics,sentence,medical_term,high,36fcbbbb5a9259ac955c0f7f93f4d401
**Coadministration with food increases the bioavailability (mean AUC and Cmax increasing by 39% and 76%)**,**الإعطاء المتزامن مع الطعام يزيد التوافر الحيوي (متوسط AUC وCmax يزدادان بنسبة ٣٩٪ و٧٦٪)**,updated_pharmacokinetics,sentence,medical_term,high,6630513db1fb6418eb35ff12a48817a4
**Maximum concentrations (Cmax) appear 2 to 4 hours after tablet intake**,**التركيزات القصوى (Cmax) تظهر بعد ٢ إلى ٤ ساعات من تناول القرص**,updated_pharmacokinetics,sentence,medical_term,high,84da1cfe810546afb269a5b06b7c3e1d
**Plasma protein binding of Rivaroxaban is approximately 92% to 95%**,**الارتباط ببروتينات البلازما لريفاروكسبان حوالي ٩٢٪ إلى ٩٥٪**,updated_pharmacokinetics,sentence,medical_term,high,86bbc8b76340da485d0f2552ba263a19
**66% of the dose was recovered in urine (36% as unchanged drug) and 7% in feces**,**تم استعادة ٦٦٪ من الجرعة في البول (٣٦٪ على شكل دواء غير متغير) و٧٪ في البراز**,updated_pharmacokinetics,sentence,medical_term,high,e930c9b80d5d5c1e64cf8e01f6142412
**Terminal elimination half-life of Rivaroxaban is 5 to 9 hours**,**نصف عمر الإطراح النهائي لريفاروكسبان هو ٥ إلى ٩ ساعات**,updated_pharmacokinetics,sentence,medical_term,high,049932cbb3c0131f3c5eccbb056c9f83
**Clopidogrel is rapidly absorbed. Absorption is at least 50%**,**يمتص كلوبيدوغريل بسرعة. الامتصاص لا يقل عن ٥٠٪**,updated_pharmacokinetics,sentence,medical_term,high,d9db96e7b15d92a9f08ed99b3500f09e
**Clopidogrel is extensively metabolized by two main metabolic pathways**,**يستقلب كلوبيدوغريل بشكل واسع عبر مسارين استقلابين رئيسيين**,updated_pharmacokinetics,sentence,medical_term,high,20fbb7bb7c068611a8138af158546117
**Half-life of clopidogrel is approximately 6 hours. The half-life of the active metabolite is about 30 minutes**,**نصف عمر كلوبيدوغريل حوالي ٦ ساعات. نصف عمر المستقلب الفعال حوالي ٣٠ دقيقة**,updated_pharmacokinetics,sentence,medical_term,high,c087e823003b908bdc1407a7bcebb8dc
**Aspirin appears rapidly in all body tissues. It crosses the placenta and appears in breast milk**,**يظهر الأسبرين بسرعة في جميع أنسجة الجسم. يعبر المشيمة ويظهر في حليب الثدي**,updated_pharmacokinetics,sentence,medical_term,high,68f2a0afa627a1791a60d70bfd8262c8
**Absorption of diclofenac from Fast-Vol sets in immediately after administration**,**يبدأ امتصاص ديكلوفيناك من فاست فول فورًا بعد الإعطاء**,updated_pharmacokinetics,sentence,medical_term,high,57a52310c6df00cd1f7e22dc809ab89b
**Bioavailability of diclofenac is 82% of that achieved with gastro-resistant tablets**,**التوافر الحيوي لديكلوفيناك هو ٨٢٪ من ذلك الذي يتم تحقيقه مع الأقراص المقاومة للمعدة**,updated_pharmacokinetics,sentence,medical_term,high,1fbf71672ca589d44880dd11866acaba
"**99.7% of diclofenac is bound to serum proteins, mainly to albumin**",**ترتبط ٩٩.٧٪ من ديكلوفيناك ببروتينات المصل، خاصة الألبومين**,updated_pharmacokinetics,sentence,medical_term,high,5f42f5934fe2d182ce9de8c30b156117
**Manufactured by: HAMA PHARMA Hama - Syria**,**تصنيع: حماة فارما - حماة - سوريا**,updated_general,sentence,medical_term,high,036106019ba4df603834d03531c4be41
**Tel.: +963 33 8673941 Fax: +963 33 8673943**,**هاتف: +٩٦٣ ٣٣ ٨٦٧٣٩٤١ فاكس: +٩٦٣ ٣٣ ٨٦٧٣٩٤٣**,updated_general,sentence,medical_term,high,d9d3cabfc9f61c25fd4e4cb71c61f62d
**A medicament is a product which affects your health**,**الدواء منتج يؤثر على صحتك**,updated_general,sentence,medical_term,high,4492de252b957facfc38a61144f87017
**its consumption contrary to instructions is dangerous for you**,**استخدامه خلاف التعليمات يعرضك للخطر**,updated_general,sentence,medical_term,high,a7dce71e4f8c042a785dca6097652c5e
**Do not by yourself interrupt the period of treatment prescribed for you**,**لا تقاطع فترة العلاج الموصوفة لك من تلقاء نفسك**,updated_general,sentence,medical_term,high,3e606289d0d6761a9ce9d756d061dca9
**KEEP MEDICAMENTS OUT OF REACH OF CHILDREN**,**يحفظ الدواء بعيدًا عن متناول الأطفال**,updated_general,sentence,medical_term,high,02f1557b62b6b3145be6242e178a7478
**(Council of Arab Health Ministers)**,**(مجلس وزراء الصحة العرب)**,updated_general,term,medical_term,high,7e00f374c95f274c06699cc68e52c236
**(Arab Pharmacists Association)**,**(اتحاد الصيدليين العرب)**,updated_general,term,medical_term,high,b297b8e3ec88866178eadd5d0ec07c1c
"**Store at room temperature, 15° - 30° C**",**يحفظ في درجة حرارة الغرفة، ١٥-٣٠ درجة مئوية**,updated_general,sentence,medical_term,high,f91a5942d68cc3558c7e0d7d694539b3
"**Store at room temperature, 20° -25° C**",**يحفظ في درجة حرارة الغرفة، ٢٠-٢٥ درجة مئوية**,updated_general,sentence,medical_term,high,f91a5942d68cc3558c7e0d7d694539b3
**Agomelatine**,**أجوميلاتين**,medical_terms_extended,term,medical_term,high,379a83e15ab97772261cae58f1aa0c11
**Aripiprazole**,**أريبيبرازول**,medical_terms_extended,term,medical_term,high,7556e93ca7a8268629776af6128df0d7
**Paracetamol / Acetaminophen**,**باراسيتامول**,medical_terms_extended,term,medical_term,high,79f80bfaa9dd5d185a006b270a9a6ec8
**Diclofenac Potassium**,**ديكلوفيناك بوتاسيوم**,medical_terms_extended,term,medical_term,high,06ced8266f00e5766aa676320446eba7
**Diclofenac Sodium**,**ديكلوفيناك صوديوم**,medical_terms_extended,term,medical_term,high,a7b1ffc6d94910fa555c58f13b17ad1a
**Tramadol Hydrochloride**,**ترامادول هيدروكلوريد**,medical_terms_extended,term,medical_term,high,7b67c4021a0ebb1285c770962fd91b0e
**Armodafinil**,**أرمودافينيل**,medical_terms_extended,term,medical_term,high,640a55cdff8f493c587d83c4bd720648
**Clozapine**,**كلوزابين**,medical_terms_extended,term,medical_term,high,d3ed745d56c177e54caeb8d91c93fc92
**Misoprostol**,**ميزوبروستول**,medical_terms_extended,term,medical_term,high,446c23a314ad9f25c5b0fa387c0032fb
**Diltiazem Hydrochloride**,**ديلتيازيم هيدروكلوريد**,medical_terms_extended,term,medical_term,high,6f577b940e37d9654ca2169eb3dbcead
**Enalapril Maleate**,**ينالابريل مالات**,medical_terms_extended,term,medical_term,high,33aac242b2ab5a178be7fad980b1e931
**Hydrochlorothiazide**,**هايدروكلوروثيازيد**,medical_terms_extended,term,medical_term,high,b270bcaa09b6ba8ab20e8e6e4d81ddd9
**Spironolactone**,**سبيرونولاكتون**,medical_terms_extended,term,medical_term,high,7a06f611e0820a686fc472722026a9a8
**Furosemide**,**فوروسمايد**,medical_terms_extended,term,medical_term,high,d377128945ba996fa3969a3529895fcc
**Metronidazole**,**مترونيدازول**,medical_terms_extended,term,medical_term,high,335b70f6414defabf59388c05f985c77
**Spiramycin**,**سبيرامايسين**,medical_terms_extended,term,medical_term,high,178694baab1e69eda34aabb3e1951bea
**Oxomemazine**,**أوكسوميمازين**,medical_terms_extended,term,medical_term,high,1870c87180d2974dcac7d01f38989008
**Guaifenesin**,**غوايفينيسين**,medical_terms_extended,term,medical_term,high,3ef7cefb7536c69bbf99535c0a1a7e93
