en,ar,category
abdominal regions,نَواحي البَطْن,anatomy
abdominal salpingectomy,اِسْتِئْصَال البُوْقِ بطَرِيْقِ البَطْن,Surgery
abdominal salpingotomy,بَضْعُ البُوْق بطَريق البَطْن,Obstetrics and gynecology
abdominal splinting,تَخشُّبٌ بَطْني,common entries
abdominal sponge,إسفَنْجٌ بَطْني,surgery
abdominal trauma,رضح البطن,Surgery
abdominal ultrasound test,فحصُ البَطْن بالموجات فوق الصَّوْت,Radiology and diagnostic technology
abdominal viscera,أَحْشاءُ البَطْن,anatomy
abdominal wall,جِدارُ البَطْن,anatomy
abdominal wound,جرح في البطن,Dermatology
abdominal wound,جُرْحٌ بَطْني,surgery
abdomino-anterior foetus,جنين أمامي البطن,Obstetrics and gynecology
abdomino-centesis,بزل البطن,Diagnostics(symptoms&signs)
abdominopelvic cavity,الجَوْفُ البَطْني الحَوْضي,anatomy
abdominoposterior foetus,خلفي البطن,Obstetrics and gynecology
abdominous,بَطين,Anthropology and anthropometrics
abducens muscle,مُبَعِّدَةُ العَين,surgery
abducens nerve,العَصَبُ المُبَعِّد,anatomy
abducent,مُبَعِّد,surgery
abducted gait,مشية تباعدية,Rehabilitation
abduction,تَبْعيد,Anatomy
abduction angle,زاوية التبعيد,Rehabilitation
abduction boots,أَحْذيةُ التَّبْعيد,Orthopedics
abduction capacity,سَعَة التبعيد,Rehabilitation
abduction of orthosis,تبعيد المقوام,Rehabilitation
abduction splint,جبيرة الأبعاد,Orthopedics
abductor,المُبَعِّدَة,anatomy
abductor digiti minimi of the foot,العَضَلَةُ المُبَعِّدَةُ لخِنْصَرِ القَدَم,anatomy
abductor digiti minimi of the hand,العَضَلَةُ المُبَعِّدَةُ لخِنْصَرِ اليَد,anatomy
abductor hallucis,العَضَلَةُ المُبَعِّدَةُ لإِبْهامِ القَدَم,anatomy
abductor part,جزء مُبَعِّد,Rehabilitation
abemaciclib,أبيماسيكليب,"Taxonomy, nosology and classification"
abembryonic,مُبْتَعِدٌ عن المُضْغَة,Embryology & teratology
aberrant artery,الشريان الزائغ,Anatomy
aberrant ventricular conduction (AVC),تَوْصيلٌ بُطَيْني زائِغ,Physiatrics and physical medicine
aberration,زَيْغ,common entries
abetalipoproteinaemia,فقد بيتا ليبوبروتين الدَّم,"Taxonomy, nosology and classification"
abetimus,أبيتيميوس,"Taxonomy, nosology and classification"
abfraction,تجزُّؤ,"Taxonomy, nosology and classification"
abience,تَعَذّر الاستجابة,Biology
abient,متَعَذّر الاستجابة,Biology
ability,القدرة,Biology
ability scale,مقياس القدرات,Measures
ability to walk,القدرة على المشي,Rehabilitation
abiosis,تضاؤل الحيوية,Veterinary medicine
abiraterone,أبيراتيرون,"Taxonomy, nosology and classification"
ablatio mammae,استئصال الثدي,Rehabilitation
ablation,استئصال,Surgery
ablative radiotherapy,المُعالَجَةُ الإِشْعاعِيَّة الاستئصالية,Surgery
ableism community,مجتمع القدرات,sexology
ablepharia,غياب الجفن,Biology
abneural,مُبْتَعِدٌ عن العَصَب,Anatomy
abnormal behavior,سُلوكٌ غيرُ سَويّ,Psychiatry and Psychology
abnormal physical exam,فحص جسدي غير طبيعي,Biostatistics
abnormal pregnancy,الحمل اللاسوي,Obstetrics and gynecology
abnormal Pregnancy,حمل غير طبيعي,Biology
abnormal psychology,عِلْمُ نَفْسِ السلوكِ المنحرف,Psychiatry and Psychology
abnormal respiratory findings,نتائج تنفسية غير طبيعية,Infectious diseases
abnormal sign,علامة غير طبيعية,Biostatistics
abnormal tooth mobility,حَرَكةِ غير سويةٍ للسِّنِّ,Dentistry
abnormalities,شذوذات,Surgery
abnormalities in sperm shape,شذوذات في حجم النطفة,Obstetrics and gynecology
abnormalities in sperm size,شذوذات في حجم النطفة,Obstetrics and gynecology
abnormalty,شذوذ,Biology
abocclusion,شذوذ الإطباق,Dentistry
aboiement,مُوَاء,Diagnostics(symptoms&signs)
aborted infection,عدوى مُجْهَضَة,Surgery
aborted systole,انْقِباضَةٌ مُجْهَضَة,Cardiology and cadiovascular surgery
abortifacient drugs,عقاقير مجهضة,Biology
abortifacient drugs,العقاقير المجهضة,"Nursing, midwifery and tocology"
abortion,إِجْهاض,Obstetrics and gynecology
abortion inevitable,إجهاض حتمي,"Nursing, midwifery and tocology"
abortion on demand,إِجْهاض عندَ الطَّلب,Obstetrics and gynecology
abortion ratio,نسبة الإجهاض,Biostatistics
abortionist,مُجْهِض,Obstetrics and gynecology
abortus,الجهيض,"Nursing, midwifery and tocology"
above elbow,فوق المرفق,Rehabilitation
above elbow amputation,بَتْر فوق المرفق,Rehabilitation
above elbow prosthesis,بدلة فوق المرفق,Rehabilitation
above knee amputation,بَتْر فوق الركبة,Rehabilitation
above knee prosthesis,بدلة فوق الركبة,Rehabilitation
above-elbow (AE) amputation,بَتْرٌ أعلى المِرْفَق,surgery
abrade,يسحج,Dentistry
abranchiate,لا خيشومى,Biology
abrasio dentium,سحج السن,Dentistry
abrasion arthroplasty,رَأْبُ المَفْصِل السَّحْجي,Orthopedics
abrasion layer,طَبقةٌ سحجيَّة,Radiology and diagnostic technology
abrasiveness,السحجية,Dentistry
abrin,ايرين,Biology
abrus precatorius,عيون الديكه,Biology
abscess of vitreous,خراج الجسم الزجاجي,Biology
abscissa,إِحْداثِيٌّ أفُقِيٌّ,Biostatistics
absence,الغياب,Neurology
absent without leave (AWOL),غائبٌ من دون مُوافَقة,"Nursing, midwifery and tocology"
absente febre,حُمّى خافية,
absolute (A) temperature,دَرَجَةُ الحَرارَةِ المُطْلَقَة,Physiatrics and physical medicine
absolute discharge,تَخْريجٌ مُطْلَق,Health services
absolute effect,الأثر المطلق,Biostatistics
absolute hyperphagia,فرط الأكل المطلق,Biology
absolute neutrophil count (ANC),تعدادُ العَدِلاَت المُطْلَق,hematology
absolute poverty level,مستوى الفقر المطلق,Biostatistics
absolute rate,المعدل المطلق,Biostatistics
absolute risk increase (ARI),زيادة الخطر المطلق,Biostatistics
absolute risk reduction (ARR),انخفاض الخطر المطلق,Biostatistics
absolute temperature,دَرَجَة الحرَارَة المُطْلَقَة,Physiatrics and physical medicine
absorbable cotton,قُطْنٌ قابلٌ للامتِصاص,"Nursing, midwifery and tocology"
absorbable gelatin film,طبقةٌ جلاتينيةٌ سهلةُ الاِمْتِصاص,Common entries
absorbent dressing,ضَمادٌ ماصٌّ,"Nursing, midwifery and tocology"
absorption rate constant,ثابتةُ مُعَدَّل الامْتِصاص,Physiology
abstince,الامتناع,Biology
abuse cessation,توقُّفُ سوءُ المُعامَلَة,Psychiatry and Psychology
abuse protection,الوقايةُ من سوء المعاملة,Psychiatry and Psychology
abuse protection support,دَعْمُ الحمايةِ من سوء المعاملة,Psychiatry and Psychology
abuse protection support: child,دَعْمُ الحمايةِ من سوء المعاملة: الأطفال,Psychiatry and Psychology
abuse protection support: domestic partner,دَعْمُ الحمايةِ من سوء المعاملة: شَريكُ المَنْزِل,Psychiatry and Psychology
abuse protection support: elder,دَعْمُ الحمايةِ من سوء المعاملة: المسنُّ,Psychiatry and Psychology
abuse protection support: religious,الدَعْمُ الدِّيني للحمايةِ من سوء المعاملة,Psychiatry and Psychology
abuse recovery,التَّعافي من سوء المعاملة,Psychiatry and Psychology
abuse recovery: emotional,التَّعافي من سوء المعاملة: النَّفسي,Psychiatry and Psychology
abuse recovery: financial,التَّعافي من سوء المعاملة: المالي,Psychiatry and Psychology
abuse recovery: physical,التَّعافي من سوء المعاملة: الجَسَدي,Psychiatry and Psychology
abuse recovery: sexual,التَّعافي من سوء المعاملة: الجِنْسي,Psychiatry and Psychology
abused person,شَخْصٌ تساءُ مُعامَلَته,Psychiatry and Psychology
abusive behavior self-restraint,مُقاوِمٌ ذاتياً لسُلوك سوء المعاملة؛ مُحصَّن ضدَّ لسُلوك سوء المعاملة,Psychiatry and Psychology
abyssal,اعماقى,Biology
against medical advice,ضدَّ المَشورَة الطبِّية,
agalsidase beta,أَغَالزيداز بيتا,
agar agar,أجار أجار,Bacteriology
agar-agar,آغَارٌ آغار,Bacteriology
agarose,أغَارُوز,
age - sex pyramid,هرم العمر والجنس,Biostatistics
age 30 transition,الاِنْتِقالُ لسنِّ الثَّلاثِين,common entries
age dependency ratio,نسبة الإعالة العمرية,Biostatistics
age hardening,تصليد بالتعتيق,Biology
age of consent,سِنُّ التَّكْليف,common entries
age of discrimination,سن التمييز,Genetics and genetic engineering
age of majority,سِنُّ البُلوغ,common entries
age standardization,تقييس العمر,Biostatistics
age validation,التحقُّق من العُمر,Forensic medicine
age-associated mental impairment,الاِضْطِرابُ العَقْليُّ المُتَرافِقُ مع العُمُر,Psychiatry and Psychology
aged,مسنٌّ,common entries
ageing,تقدم العمر,"Taxonomy, nosology and classification"
ageing-related,مرتبط بالتشيُّخ,"Taxonomy, nosology and classification"
ageism,التَّمْيِيزُ تجاه المُسِنِّين,
agenesia pilaris,الملَط,Diagnostics(symptoms&signs)
ageniocephaly,فقدُ الأُذُنين,Genetics and genetic engineering
agent (of disease),عامل (المرض),Biostatistics
age-period cohort analysis,تحليل الأتراب وفقا للفترة والعمر,Biostatistics
age-related cognitive decline,تدهور المعارف مرتبط بالعمر,Common entries
age-related macular degeneration,تنكُّس البقعة المرتبط بالعمر,Ophthalmology and optics
age-sex register,سجلّ العمر والجنس,Biostatistics
age-sex registery,سِجِلّ عُمْرِيّ جِنْسِي,Biostatistics
age-specific,خاصٌّ بعُمُرٍ مُحَدَّد,common entries
age-specific rate,معدّل خاص بعمر معين,Biostatistics
age-specific rate,المُعَدَّل النَوْعِي لِلعُمُر,Biostatistics
agglutinates,رَصائِص,hematology
agglutination reaction,تَفاعُلُ التَّرَاص,
agglutination-inhibition test,اخْتِبارُ تَثْبيطِ التَّراصِّ,Laboratory medicine
agglutinines,مركبات راصَّة,Common entries
agglutinoid,شبه الملزن,Laboratory medicine
aggravation,تَفَاقُم,Diagnostics(symptoms&signs)
aggregate surveillance,ترصد التكدس,Biostatistics
aggregated node,العقدة المتجمعة,Diagnostics(symptoms&signs)
aggregated nodule,العقيدة المتجمعة,Diagnostics(symptoms&signs)
aggregation bias,تحيّز التّكدّس,Biostatistics
aggregative fallacy,مغالطة التكدس,Biostatistics
aggression self-control,ضَبْطُ النَّفْس عن العُدْوان,Behavioral medicine
aggressive infantile fibromatosis,أوْرامٌ لِيفِيّةٌ طِفْلِيّة عُدْوانِيَّة,oncology
aggressive-radical therapy,مُعالجَةٌ جَذْرِيَّة عُدْوانِيَّة,
aggressor,المعتدي,Behavioral medicine
agility exercises,تمارين الرشاقة,Physiatrics and physical medicine
aging of the population,تشيّخ الجمهرة,Biostatistics
agitated,هَائِج,Common entries
aglossia,فَقْدُ اللِّسَان,Genetics and genetic engineering
aglycemia,نَقْصُ سُكَّرِ الدَّم,Endocrinology & metabolism
aglycemia,فقدانُ سُكَّر الدَّم,Endocrinology & metabolism
agnathia,فَقْدُ الفَكِّ,
agnathocephalus,فاقِدُ الرَّأْسِ والفَكِّ,
agnathocephaly,فَقْدُ الرَّأْسِ والفَكِّ,
agnathus,فاقِدُ الفَكِّ,
agnosia,عَمَه,
agnosticism,عَمَهيّ,Common entries
agnosticism,عَمَه,Common entries
agomelatine,أغوميلاتين,"Taxonomy, nosology and classification"
agomphosis,انعدام الأَسْنان,"Taxonomy, nosology and classification"
agonal,اِحْتِضاريٌّ,
agonal thrombus,خَثْرَةٌ اِحْتِضارِيَّة,
agony,كَرْب,common entries
agranular cortex of cerebrum,قشرة غير حبيبية في الدماغ,Anatomy
agranulocytic angina,خُنَاقُ نُدْرَة المُحَبَّبات,Tropical medicine
agraphia,تَعَذُّرُ الكِتَابَة,Neurology
agrichemical,مادة زراعية كيميائية,"Taxonomy, nosology and classification"
agrimony,غَافِث؛ عَرْنَج,"Traditional medicine, folk medicine"
agrochemical,مادة زراعية كيميائية,"Taxonomy, nosology and classification"
agrology,علم التربة,Common entries
agrypnal,أغريبنال,"Taxonomy, nosology and classification"
agyria,فَقْدُ التَّلافِيف,
afamelanotide,أفاميلانوتيد,"Taxonomy, nosology and classification"
afatinib,أفاتينيب,"Taxonomy, nosology and classification"
afebrile,بلَا حُمَّى,common entries
afelimomab,أفيليموماب,"Taxonomy, nosology and classification"
affected by,مصاب ب,Common entries
affected city,مدينة متأثرة,Infectious diseases
affective intimacy,عاطفة حَمِيمَة,common entries
affective learning,تعلُّمُ العواطِف,Psychiatry and Psychology
affective psychosis,ذُهانٌ عاطِفِيٌّ,Psychiatry and Psychology
afferent pupillary response,استجابة الحدقة الواردة,Ophthalmology and optics
affidavit,إفادَة موثَّقَة,common entries
affirm gender identity,تأكيد الهوية الجندرية,sexology
affirmative defense,دِفَاعٌ تَأْكِيديّ,common entries
affirmed gender,جندر مُؤَكَّد,sexology
afibrile,لاحُمَّويّ,Infectious diseases
aflatoxins,أَفْلاتُوكسين,Microbiology
aflibercept,أفليبيرسيبت,"Taxonomy, nosology and classification"
afloqualone,أفلوكوالون,"Taxonomy, nosology and classification"
african snipe,البكاسين,Biology
after care,الموالاة,Hospital administration
after cataract,السد اللاحق,Ophthalmology and optics
after-birth,الخلاص,Obstetrics and gynecology
afterbirth Haemoglobinuria,بيلة هيموغلوبينية بعد الولادة,Veterinary medicine
after-cataract,توابع السادّ,Common entries
after-coming head,الرأس اللاحق,Obstetrics and gynecology
afterdepolarization,إِزالَةُ الاسْتِقْطاب التِّلْوِيُّة,
afterlife,الآخرة,Common entries
afterpain,ألَمٌ تِلْوِيّ,
afterpotential wave,مَوْجَةُ جُهْدٍ تِلْوِي,
affected populations,السكان المتضررين,"Public health, community medicine and hygiene"
afebrile,بلا حُمَّى,
afebrile,غَيْرُ مَصْحُوْبٍ بحُمَّى,
afebrile abortion,إِجْهاضٌ لاحُمَّوِيّ,Obstetrics and gynecology
afebrile delirium,هَذَيانٌ عَدِيْمُ الحُمَّى,Psychiatry and Psychology
afetal,لاجَنِيْنيّ,
affect,عاطِفَة,Psychiatry and Psychology
affect,وِجْدان,Psychiatry and Psychology
affect,يُصِيب,Diagnostics(symptoms&signs)
affect block,إِحْصارٌ عاطِفِيّ,
affect hunger,تَعَطُّشٌ للعَطْف,
affect memory,ذاكِرَةٌ عاطِفِيَّة,
affect regression,تَقَهْقُرٌ عاطِفِيّ,
affect spasm,تَشَنُّجٌ عاطِفِيّ,
affected,مُصَابٌ ـ,
affection,عِلَّة,Psychiatry and Psychology
affection,عاطِفَة,Psychiatry and Psychology
affection,وِجْدَان,Psychiatry and Psychology
affective,عاطِفِيّ,Psychiatry and Psychology
affective,وِجْدانِيّ,Psychiatry and Psychology
affective amnesia (=elective amnesia),فَقْدُ الذَّاكِرَةِالعَاطِفِيّ,Psychiatry and Psychology
affective amnesia (=elective amnesia),فَقْدُ الذَّاكِرَة الانتخابي,Psychiatry and Psychology
affective contact,مُخالَطَةٌ عاطِفِيَّة,
affective discharge,تَفْريغٌ عاطِفِيّ,
affective disorders,اضْطِرَاباتُ الوِجْدَان,
affective disorders,اضْطِراباتٌ عاطِفِيَّة,
affective disturbance,اضْطِرابٌ عاطِفِيّ,
affective epilepsy,صَرْعٌ عَاطِفِيّ,
affective insanity (=affective psychosis),ذُهانٌ عاطِفِيّ,
affective insanity (=affective psychosis),جُنونٌ عاطِفِيّ,
affective melancholia,سَوداوِيَّةٌ عاطِفِيَّة,
affective paraphrenia (=involutional melancholia),السُّوداوِيَّة الأَوبِيَّة,
affective paraphrenia (=involutional melancholia),ازْوِرارٌ عاطِفِيّ,
affective personality (=cyclothymia),شَخْصِيَّة دَوْرَوِيَّة المِزاج,
affective personality (=cyclothymia),شَخْصِيَّة عاطفيَّة,
affective psychosis (=mood disorder),اضْطِرابُ المِزاج,
affective psychosis (=mood disorder),ذُهانٌ عاطِفِيّ,
affective shock,صَدْمَة عاطِفِيَّة,
affective shock,صَدْمَة وِجْدَانِيَّة,
affectivity,عاطِفَة,Psychiatry and Psychology
affectivity,وِجْدَان,Psychiatry and Psychology
affectomotor,عَاطِفِيٌّ حَرَكِيّ,Psychiatry and Psychology
affenspalte (=sulcus lunatus),التَّلَمُ الهِلالِيّ (في المخيخ),Neurology
afferent,وارِد,Anatomy
afferent artery,شِرْيانٌ وارِد,Anatomy
afferent artery of glomerulus,شِرْيانُ الكُبَيبَةِ الوارِد,Anatomy
afferent fibers,أَلْيافٌ وارِدَة,
afferent loop syndrome,مُتَلازِمَة العُرْوَةِ الوارِدَة,Diagnostics(symptoms&signs)
afferent nerve,عَصَبٌ وارِد,Anatomy
afferent neurofibers,أَلْيافٌ عَصَبِيَّة وارِدَة,
afferent neuron,عَصَبونٌ وارِد,
afferent pathway,سَبيلٌ وارِد,
afferent tract,سَبيلٌ وارِد,
afferent veins,أَورِدَة وارِدَة,Anatomy
afferent vessel of glomerulus,وِعاءٌ وارِدٌ للكُبَيبَة,
afferent vessels of lymph node,أَوعِيَة وارِدَة للعُقْدَةِ اللِّمْفِيَّة,
afferentia,الأَوعِيَةُ الوارِدَة,Anatomy
affiliated hospital,مُسْتَشْفَى مُرْتَبِط,Hospital administration
affinin,أفِينين,Pharmacology and therapeutics
affinity,أُلْفَة,Biochemistry and Chemistry
affinity chromatography,اسْتِشْرابٌ بالأُلْفَةِ,
affinity elution,شَطْفٌ مُعْتَمِدٌ عَلَى الأُلْفَة,
affinous,تَصَاهُرِيّ,Biochemistry and Chemistry
affirmation,إِثْبات,Forensic medicine
afflux,تَدَافُق,Biology
affluxion,تَدَافُق,Biology
affordable,مَيْسورُ التَّكْلِفَة,WHO managerial terms
affusion,سَكْب,Biology
afibrinogenemia,فَقْدُ فيبْرينُوجينِ الدَّم,hematology
aflatoxicosis,تَسَمُّمٌ أَفْلاتُوكْسينِيّ,Toxicology
aflatoxin,أَفْلاتُوكْسين,Toxicology
afrontal,مَنْزوعُ القِشْرَة الجَبْهِيَّة,Neurology
after current,تَيَّارٌ تِلْوِيّ,
after milk,لَبَنُ آخِرِ الرَّضْعَة,
after pressure,ضَغْطٌ تِلْوِيّ,
after stain,تَلْوينٌ تِلْوِيّ,
after taste,مَذاقٌ تِلْوِيّ,
afteraction,فِعْلٌ تِلْوِيّ,Neurology
afterbirth,الخَلاص,Obstetrics and gynecology
afterbrain (=metencephalon),الدِّماغُ التَّالِي,Anatomy
aftercare,رِعَايَةٌ تِلْوِيَّة,Health services
after-cataract,سادٌّ تِلْوِيّ,Ophthalmology and optics
aftercataract (=after-cataract),سادٌّ تِلْوِيّ,Ophthalmology and optics
aftercontraction,تَقَلُّصٌ تِلْوِيّ,Physiology
aftercurrent,تَيَّارٌ تِلْوِيّ,Physiology
afterdamp,غَازٌ سامٌّ تِلْوِيّ,Toxicology
afterdischarge,تَفْريغٌ تِلْوِيّ,Physiology
aftereffect,تَأْثيرٌ تِلْوِيّ,Physiology
aftergilding,تَذْهيبٌ تِلْوِيّ (في تلوين الأنسجة),Histology
afterhearing,سَمْعٌ تِلْوِيّ,Otorhinolaryngology
afterhyperpolarization,فَرْطُ الاسْتِقْطابِ التِّلْوِيّ,Physiology
afterimage,صورَةٌ تِلْوِيَّة,Diagnostics(symptoms&signs)
afterimage test,اخْتِبارُ الصُّورَةِ التِّلْوِيَّة,Diagnostics(symptoms&signs)
afterimpression (=aftersensation),إِحْساسٌ تِلْوِيّ,Diagnostics(symptoms&signs)
afterload,حُمُولَةٌ تِلْوِيَّة,Physiology
afterloaded,تِلْوِيُّ التَّحْميل,Physiology
afterloading,تَحْميلٌ تِلْوِيّ,Physiology
aftermovement,حَرَكَةٌ تِلْوِيَّة,Neurology
afterpains,خَوَالِف,Obstetrics and gynecology
afterpains,طَلْقٌ تِلْوِيّ,Obstetrics and gynecology
afterperception,إِدْراكٌ تِلْوِيّ,Neurology
afterpotential,الجُهْدُ التِّلْوِيّ,
afterpotential,جُهْدٌ تِلْوِيّ,Physiology
aftersensation,إِحْساسٌ تِلْوِيّ,Neurology
aftersound (=afterhearing),سَمْعٌ تِلْوِيّ,Neurology
afterstain (=counterstain),مُلَوِّنٌ مُبايِن,Histology
aftersurgery,تِلْوَ الجِراحَة,Surgery
aftertaste,مَذاقٌ تِلْوِيّ,Neurology
aftertouch,حِسٌّ لَمْسِيٌّ تِلْوِيّ,Neurology
aftertreatment,مَعالَجَةٌ تِلْوِيَّة,Pharmacology and therapeutics
aftervision,رُؤْيَةٌ تِلْوِيَّة,Ophthalmology and optics
afunction,فِقْدانُ الوَظيفَة,Physiology
afunctional occlusion (=malocclusion),سوءُ الإِطْباق,
afunctional occlusion (=malocclusion),إِطْباقٌ لاوَظيفِيّ,
afunctional ulatrophy,ضُمورُ اللِّثَةِ اللاوَظيفِيّ,
academic ladder,سُلَّمٌ أَكاديميٌّ,
acadesine,أكاديسين,"Taxonomy, nosology and classification"
acaeruloplasminaemia,فقد سيرولوبلاسمين الدم,"Taxonomy, nosology and classification"
acalabrutinib,أكالابروتينيب,"Taxonomy, nosology and classification"
acalvaria,انعدام قُبَّةِ القِحْف,"Taxonomy, nosology and classification"
acamprosate,أكامبروسات,"Taxonomy, nosology and classification"
acanth,الشُوَيكَة,Prefixes
acanthdion,شوكة رسغية,Biology
acanthesia,حِسُّ التَّشَوُّك,Neurology
acanthiomeatal line,خطُّ الشُّوَيْكة فتحة القناة السمعية,Anatomy
acanthoma fissuration,تَشَقُّقٌ وَرَمٌ شَائِكيٌّ,Dermatology
acanthoma fissuratum,وَرَمٌ شَائِكيٌّ مُشَقَّق,Dermatology
acarbose,أَكاربُوز,Endocrinology & metabolism
accelerated idiojunctional rhythm,نَظْمٌ وَصْليٌّ ذاتِيٌّ مُعَجَّل أو مُتَسارِع,Cardiology and cadiovascular surgery
accelerated idioventricular rhythm (AIVR),نَظْمٌ بُطَينِيٌّ ذاتِيٌّ مُعَجَّل أو مُتَسارِع,Cardiology and cadiovascular surgery
accelerated junctional rhythm,نَظْمٌ وَصْليٌّ مُعَجَّل أو مُتَسارِع,Cardiology and cadiovascular surgery
accelerated silicosis,سُحار سيليسي متسارع,"Chest, pulmonary and cardiothoratic surgery"
acceleration phase,مَرْحَلَةُ التَّسارع,Obstetrics and gynecology
acceleration phase,مسارع التسارع,Rehabilitation
acceleration time,زمن التسارع,Rehabilitation
acceleration-deceleration injury,إصابةُ التَّسارع والتَّباطؤ,
accept gender identity,قبول الهوية الجندرية,sexology
acceptable daily intake,مدخول يومي مقبول,
acceptable daily intake (ADI),المَدْخولُ اليَوْمِيُّ المَقْبول,Biostatistics
acceptance and commitment therapy,القبول بالمعالجة والالتزام بها,Common entries
acceptance and commitment therapy,معالجة القبول والالتزام,Pharmacology and therapeutics
acceptance of individuality,تَقبُّلُ الفَرْديَّة,Psychiatry and Psychology
acceptance of separation,تقبُّلُ الاِنْفِصال,Psychiatry and Psychology
acceptance sampling,اعتيان القًبول,Biostatistics
acceptance: health status,التَّقَبُّل: الحالة الصحِّية,"Nursing, midwifery and tocology"
acceptance-based therapies,معالجات تستند إلى القبول,Common entries
accepting the results,قبول النتائج,Biostatistics
access cavity,تَجْويفُ الوُصول,Dentistry
access to,الوصول إلى,Common entries
accessory auricles,الأذينات الإضافية,Otorhinolaryngology
accessory glands,الغدد الملحقة,Embryology & teratology
accessory mamma,ثَدْيٌ إضافيٌّ,Anatomy
accessory movement,حَركةٌ إِضافِيَّة,Orthopedics
accessory muscle of respiration,عضلةُ التنفُّس الإِضافِيَّة,anatomy
accessory nasal sinuses,الجُيُوبُ الأنفيَّة الإِضافية,anatomy
accessory organ,عضوٌّ إِضافِي,anatomy
accessory organs of the eye,الأَعْضاءُ الإِضافِيَّةُ للعَين,anatomy
accessory pathway,مَسْلَكٌ إضافِيٌّ,Cardiology and cadiovascular surgery
accidental abortion,إجهاض طارئ,Biology
accidental host,عائلى عرضى,Biology
accident-prone,عُرْضَةٌ للحَوادِث,
acclimate,يَتَأقْلَم,
acclimatization to heat,تَأقْلُمٌ مع الحرارة,
acclusion,الفَرَق,Dentistry
"accommodation (A, acc, Acc)",تَكَيُّف,
accommodation disorders,اضطرابات التراكم,Surgery
accomodation,سكن,Surgery
accomodation of the eye,تكيّف العين,Ophthalmology and optics
accomodative,تكييفي,Ophthalmology and optics
accomodometer,مقياس التكيف,Ophthalmology and optics
accomplishment quotient,حاصِلُ الإنجاز,Psychiatry and Psychology
accreditation Board for Certification,اعتماد من مجلس الإجازة,Rehabilitation
accreditation of American Board for Certification,اعتماد من المجلس الأمريكي للإجازة,Rehabilitation
accreta,انضمامي,Common entries
accretio,التصاق,Common entries
accretion,نُمُوٌّ إضافِيّ,Common entries
accumbens,مُتَّكَأ,Surgery
accumulated dose equivalent,مُكافِىءُ الجُرْعَة التَّراكُميَّة,Nuclear medicine
accumulating,تراكمي,Surgery
accumulation of risk,تراكم الخطر,Biostatistics
accumulative action,فعل تراكمي,Biology
accuracy,الدقة في الدراسة السريرية,Biostatistics
accurate empathy,إحساسٌ دقيقٌ بمشاعرِ الآخرين,Psychiatry and Psychology
ace,متفاوت الشغف,sexology
ace bandage,رباط بشكل الآس,Rehabilitation
