المصطلح الإنجليزي,المصطلح العربي,الفئة
**Severe Respiratory Impairment**,**قصور تنفسي شديد**,
**Head Injury**,**إصابة في الرأس**,
**Increased Intracranial Pressure**,**زيادة ضغط داخل الجمجمة**,
**Decreased Level of Consciousness**,**انخفاض مستوى الوعي**,
**Shock**,**صدمة**,
**Coronal Ischemia**,**نقص تروية الشريان التاجي**,
**Cerebrovascular Disease**,**أمراض دماغية وعائية**,
**Dementia**,**خرف**,
**Dementia-Related Psychosis**,**ذهان مرتبط بالخرف**,
**Suicidal Thoughts and Behaviors**,**أفكار وسلوكيات انتحارية**,
**Respiratory Diseases**,**أمراض تنفسية**,
**Decongestant**,**مزيل احتقان**,
**Gingivitis**,**التهاب اللثة**,
**Anti-bacterial**,**مضاد بكتيري**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Analgesics**,**مسكنات الألم**,
**Central Acting Analgesic**,**مسكن ألم مركزي التأثير**,
**Opioid Analgesics**,**مسكنات أفيونية**,
**NSAIDs (Non-Steroidal Anti-Inflammatory Drugs)**,**مضادات الالتهاب غير الستيرويدية**,
**Antipsychotics**,**مضادات الذهان**,
**Atypical Antipsychotics**,**مضادات ذهان غير نمطية**,
**Antidepressants**,**مضادات الاكتئاب**,
**Tricyclic Antidepressants**,**مضادات الاكتئاب ثلاثية الحلقات**,
**SSRIs (Selective Serotonin Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين الانتقائية**,
**SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين والنورادرينالين**,
**MAO Inhibitors (Monoamine Oxidase Inhibitors)**,**مثبطات مونوأمين أوكسيداز**,
**Antihypertensives**,**أدوية خافضة لضغط الدم**,
**Diuretics**,**مدرات البول**,
**Thiazide Diuretics**,**مدرات البول الثيازيدية**,
**Loop Diuretics**,**مدرات البول العروية**,
**Potassium-Sparing Diuretics**,**مدرات البول الحافظة للبوتاسيوم**,
**ACE Inhibitors (Angiotensin-Converting Enzyme Inhibitors)**,**مثبطات الإنزيم المحول للأنجيوتنسين**,
**Calcium Channel Blockers**,**حاصر قنوات الكالسيوم**,
**Antibiotics**,**مضادات حيوية**,
**Antihistamines**,**مضادات هيستامين**,
**Expectorants**,**طاردات للبلغم**,
**Decongestants**,**مزيلات الاحتقان**,
**Proton Pump Inhibitors**,**مثبطات مضخة البروتون**,
**Antioxidants**,**مضادات الأكسدة**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Increased Mortality in Elderly Patients**,**زيادة معدل الوفيات لدى المرضى المسنين**,
**Cerebrovascular Adverse Events**,**أحداث قلبية وعائية سلبية**,
**Neuroleptic Malignant Syndrome (NMS)**,**متلازمة الخباث الأفيوني (NMS)**,
**Tardive Dyskinesia**,**خلل الحركة المتأخر**,
**Metabolic Changes**,**تغيرات استقلابية**,
**Hyperglycemia / Diabetes Mellitus**,**فرط سكر الدم / مرض السكري**,
**Dyslipidemia**,**اضطراب دهني**,
**Body Weight Gain**,**زيادة الوزن**,
**Orthostatic Hypotension**,**انخفاض ضغط الدم الوضعي**,
**Leukopenia**,**نقص الكريات البيضاء**,
**Neutropenia**,**نقص العدلات**,
**Agranulocytosis**,**نقص الكريات المحببة**,
**Seizure Threshold**,**عتبة الاختلاج**,
**Cognitive and Motor Impairment**,**إعاقة معرفية وحركية**,
**Body Temperature Regulation**,**تنظيم درجة حرارة الجسم**,
**Dysphagia**,**صعوبة البلع**,
**Esophageal Dysmotility**,**اضطراب حركية المريء**,
**Aspiration Pneumonia**,**التهاب رئوي استشاقي**,
**Alcoholics**,**مدمنو الكحول**,
**Medication-Overuse Headache (MOH)**,**صداع ناجم عن إفراط في استخدام المسكنات**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Drug Interactions**,**التداخلات الدوائية**,
**MAO Inhibitors**,**مثبطات مونوأمين أوكسيداز**,
**CNS Depressants**,**مثبطات الجهاز العصبي المركزي**,
**Alcohol**,**كحول**,
**Carbamazepine**,**كاربامازيبين**,
**Cimetidine**,**سيميتيدين**,
**SSRIs (Selective Serotonin Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين الانتقائية**,
**SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors)**,**مثبطات استرداد السيروتونين والنورادرينالين**,
**Tricyclic Antidepressants**,**مضادات الاكتئاب ثلاثية الحلقات**,
**Buprenorphine**,**بوبرينورفين**,
**Nalbuphine**,**نالبوفين**,
**Pentazocine**,**بنتازوسين**,
**Mixed Agonist/Antagonists**,**ناظم/مضاد مختلط**,
**Coumarin Derivatives (Warfarin)**,**مشتقات الكومارين (وارفارين)**,
**Ketoconazole**,**كيتوكونازول**,
**Erythromycin**,**إريثرومايسين**,
**Bupropion**,**بوبروبيون**,
**Mirtazapine**,**ميرتازابين**,
**Tetrahydrocannabinol**,**تتراهيدروكانابينول**,
**Naloxone**,**نالوكسون**,
**Diazepam**,**ديازيبام**,
**Activated Charcoal**,**الفحم المنشط**,
**Gastric Lavage**,**غسل المعدة**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Pediatric Population**,**الأطفال**,
**Pediatric Use**,**استخدام للأطفال**,
**Geriatric Use**,**استخدام للمسنين**,
**Pregnancy**,**الحمل**,
**Pregnancy Category C**,**فئة الحمل C**,
**Lactation / Nursing**,**الإرضاع**,
**Breast Milk**,**حليب الثدي**,
**Fertility**,**الخصوبة**,
**Teratogenicity**,**تسبب التشوهات الجنينية**,
**المصطلح الإنجليزي**,**المصطلح العربي**,
**Dosage and Administration**,**الجرعة وطريقة الاستعمال**,
**Recommended Dose**,**الجرعة الموصى بها**,
**Initial Dose**,**الجرعة الأولية**,
**Maintenance Dose**,**الجرعة الصيانة**,
**Maximum Daily Dose**,**الجرعة اليومية القصوى**,
**Dosage Adjustment**,**تعديل الجرعة**,
**Dosage Interval**,**فترة الجرعة**,
**Missed Dose**,**جرعة منسية**,
**Overdosage Management**,**إدارة فرط الجرعة**,
**Packaging**,**التعبئة**,
**Blister**,**بليستر**,
**Carton Box**,**علبة كرتون**,
**Storage Conditions**,**شروط الحفظ**,
**Store at room temperature**,**يحفظ في درجة حرارة الغرفة**,
**Store in a dry place**,**يحفظ في مكان جاف**,
**Keep away from light**,**يحفظ بعيدًا عن الضوء**,
**Keep away from humidity**,**يحفظ بعيدًا عن الرطوبة**,
**Keep out of reach of children**,**يحفظ بعيدًا عن متناول الأطفال**,
**Prescription Only Medicine**,**يصرف بموجب وصفة طبية**,
**Manufactured by**,**تصنيع**,
**This is a Medicament**,**هذا دواء**,
**Follow strictly the doctor’s prescription**,**اتباع تعليمات الطبيب بدقة**,
**Do not interrupt treatment**,**لا تقاطع فترة العلاج**,
**Council of Arab Health Ministers**,**مجلس وزراء الصحة العرب**,
**Arab Pharmacists Association**,**اتحاد الصيدليين العرب**,
