en,ar,category,source,frequency
Enalapril maleate,,active_ingredient,hama-pharma.com,2
Enalapril or,,active_ingredient,hama-pharma.com,1
Fenofibrate and,,active_ingredient,hama-pharma.com,2
Fever,,active_ingredient,hama-pharma.com,1
Folic acid,,active_ingredient,hama-pharma.com,1
"Following         
a dosage of",,active_ingredient,hama-pharma.com,1
Following a single oral dose of,,active_ingredient,hama-pharma.com,1
Following an oral dose of,,active_ingredient,hama-pharma.com,1
"For patients 
requiring a dose of",,active_ingredient,hama-pharma.com,1
Fumarate,,active_ingredient,hama-pharma.com,1
"Give 
activated charcoal if an adult presents within one hour of ingestion of 
more than",,active_ingredient,hama-pharma.com,1
Guaiphenesin,,active_ingredient,hama-pharma.com,1
Hydrochloride,,active_ingredient,hama-pharma.com,3
Hydrochloride and,,active_ingredient,hama-pharma.com,2
Hydrochlorothiazide,,active_ingredient,hama-pharma.com,1
If a total daily dose of less than,,active_ingredient,hama-pharma.com,1
If you receive doses above,,active_ingredient,hama-pharma.com,2
If you receive doses in the range of,,active_ingredient,hama-pharma.com,1
"In patients with moderate hepatic impairment the maximum dose should not 
exceed",,active_ingredient,hama-pharma.com,1
Infections,,active_ingredient,hama-pharma.com,1
Isoniazid,,active_ingredient,hama-pharma.com,2
"It is recommended
not to exceed a single",,active_ingredient,hama-pharma.com,1
Itraconazole,,active_ingredient,hama-pharma.com,1
Ketoconazole,,active_ingredient,hama-pharma.com,1
Levels study where atorvastatin,,active_ingredient,hama-pharma.com,1
Limit the dose of simvastatin in patients on amlodipine to,,active_ingredient,hama-pharma.com,1
Linagliptin,,active_ingredient,hama-pharma.com,4
Linavus,,active_ingredient,hama-pharma.com,1
Metronidazole,,active_ingredient,hama-pharma.com,4
"Metronidazole
e",,active_ingredient,hama-pharma.com,1
Metronidazole e,,active_ingredient,hama-pharma.com,5
Most adult deaths occur in patients whose concentrations exceed,,active_ingredient,hama-pharma.com,1
"Most patients
will require",,active_ingredient,hama-pharma.com,1
Niacinamide,,active_ingredient,hama-pharma.com,1
No more than,,active_ingredient,hama-pharma.com,1
One person having ingested,,active_ingredient,hama-pharma.com,1
Pamabrom,,active_ingredient,hama-pharma.com,2
Paracetamol,,active_ingredient,hama-pharma.com,10
"Patients currently receiving a total daily 
dose of",,active_ingredient,hama-pharma.com,1
Patients on the,,active_ingredient,hama-pharma.com,2
Perindopril arginine,,active_ingredient,hama-pharma.com,4
Phenylephrine hydrochloride,,active_ingredient,hama-pharma.com,1
Plague,,active_ingredient,hama-pharma.com,1
Posaconazole,,active_ingredient,hama-pharma.com,2
Potassium,,active_ingredient,hama-pharma.com,1
Prostatitis,,active_ingredient,hama-pharma.com,1
Pyrazinamide,,active_ingredient,hama-pharma.com,2
"Pyridoxine should not be administered
at doses above",,active_ingredient,hama-pharma.com,1
Rifampicin,,active_ingredient,hama-pharma.com,2
Rivaroxaban at a dose of,,active_ingredient,hama-pharma.com,1
"Rivaroxaban with food increases the 
bioavailability of the",,active_ingredient,hama-pharma.com,1
Rovaltro,,active_ingredient,hama-pharma.com,1
Rovaltro immediately to ensure intake of,,active_ingredient,hama-pharma.com,1
Simvastatin,,active_ingredient,hama-pharma.com,1
Simvastatin or,,active_ingredient,hama-pharma.com,1
"Simvastatin should
not exceed",,active_ingredient,hama-pharma.com,1
"Single 
doses of",,active_ingredient,hama-pharma.com,1
Single doses less than,,active_ingredient,hama-pharma.com,1
Sinusitis,,active_ingredient,hama-pharma.com,1
Sodium,,active_ingredient,hama-pharma.com,2
"Some patients may
require",,active_ingredient,hama-pharma.com,1
"Subsequent dose
increases should be administered in",,active_ingredient,hama-pharma.com,1
Take one supplemental dose of,,active_ingredient,hama-pharma.com,4
"The
absolute bioavailability after a single oral dose of",,active_ingredient,hama-pharma.com,1
"The
dose may be increased to",,active_ingredient,hama-pharma.com,1
"The 
absolute 
oral 
bioavailability 
of 
dapagliflozin following the administration of a",,active_ingredient,hama-pharma.com,1
"The 
starting dose should be",,active_ingredient,hama-pharma.com,1
"The dose
can be increased up to",,active_ingredient,hama-pharma.com,1
"The dose can be
increased to",,active_ingredient,hama-pharma.com,1
The dose may be increased to a maximum recommended dose of,,active_ingredient,hama-pharma.com,1
The dose of,,active_ingredient,hama-pharma.com,1
The dose of linagliptin is,,active_ingredient,hama-pharma.com,1
"The dose of simvastatin should be limited
in patients on amlodipine to",,active_ingredient,hama-pharma.com,1
The dose should be increased to,,active_ingredient,hama-pharma.com,1
The glucose lowering benefit of empagliflozin,,active_ingredient,hama-pharma.com,1
The initial dose should be,,active_ingredient,hama-pharma.com,1
The maximum daily dosage should not exceed,,active_ingredient,hama-pharma.com,1
The maximum daily dose of,,active_ingredient,hama-pharma.com,1
"The maximum dose in patients
with moderate hepatic impairment should not exceed",,active_ingredient,hama-pharma.com,1
The maximum dose is,,active_ingredient,hama-pharma.com,1
"The maximum recommended
daily dose is",,active_ingredient,hama-pharma.com,1
The maximum recommended dose is,,active_ingredient,hama-pharma.com,1
"The mean absolute 
bioavailability of a single",,active_ingredient,hama-pharma.com,1
The recommended dose is,,active_ingredient,hama-pharma.com,1
The recommended dose of is a single,,active_ingredient,hama-pharma.com,1
The recommended initial dose is,,active_ingredient,hama-pharma.com,2
The recommended single daily dose is,,active_ingredient,hama-pharma.com,1
The recommended starting dose in adults is,,active_ingredient,hama-pharma.com,1
The recommended starting dose of atorvastatin is,,active_ingredient,hama-pharma.com,1
"The safety of
doses above",,active_ingredient,hama-pharma.com,1
"The starting daily dose of the
tablet formulation in these patients was",,active_ingredient,hama-pharma.com,1
The total daily dose can be increased in increments of,,active_ingredient,hama-pharma.com,1
The usefulness and safety in angina pectoris of dosage exceeding,,active_ingredient,hama-pharma.com,1
The usual initial antihypertensive oral dose of amlodipine is,,active_ingredient,hama-pharma.com,1
The usual initial dose is,,active_ingredient,hama-pharma.com,3
The usual maintenance dose is,,active_ingredient,hama-pharma.com,1
"The usual oral dosage
is",,active_ingredient,hama-pharma.com,1
The usual paediatric maintenance dose is,,active_ingredient,hama-pharma.com,1
"There is no experience with doses
above",,active_ingredient,hama-pharma.com,1
Triodef doses containing,,active_ingredient,hama-pharma.com,2
Valsartan,,active_ingredient,hama-pharma.com,1
"Vardenafil for which human data
are available is a single",,active_ingredient,hama-pharma.com,1
When doses above,,active_ingredient,hama-pharma.com,1
"Where the patient is currently 
prescribed",,active_ingredient,hama-pharma.com,1
"Zybiax in a dose range of 
olanzapine",,active_ingredient,hama-pharma.com,1
active substance,المادة الفعالة,pharmaceutical,hama-pharma.com,0
adverse reactions,ردود الفعل السلبية,clinical,hama-pharma.com,0
bioavailability,التوافر الحيوي,pharmacology,hama-pharma.com,0
contraindications,مضادات الاستطبابات,clinical,hama-pharma.com,0
controlled-release,إطلاق مضبوط,dosage_form,hama-pharma.com,0
dosage and administration,الجرعة وطريقة الاستعمال,clinical,hama-pharma.com,0
excipients,السواغات,pharmaceutical,hama-pharma.com,0
film-coated tablets,أقراص ملبسة بالفيلم,dosage_form,hama-pharma.com,0
hepatic impairment,قصور كبدي,clinical,hama-pharma.com,0
immediate-release,إطلاق فوري,dosage_form,hama-pharma.com,0
indications,الاستطبابات,clinical,hama-pharma.com,0
marketing authorisation,ترخيص التسويق,regulatory,hama-pharma.com,0
mechanism of action,آلية التأثير,pharmacology,hama-pharma.com,0
overdosage,فرط الجرعة,clinical,hama-pharma.com,0
paediatric population,الأطفال,clinical,hama-pharma.com,0
pharmacokinetics,الحرائك الدوائية,pharmacology,hama-pharma.com,0
pregnancy and lactation,الحمل والإرضاع,clinical,hama-pharma.com,0
prolonged-release,إطلاق ممتد,dosage_form,hama-pharma.com,0
renal impairment,اعتلال كلوي,clinical,hama-pharma.com,0
shelf life,مدة الصلاحية,storage,hama-pharma.com,0
storage,شروط الحفظ,storage,hama-pharma.com,0
