النص الإنجليزي,النص العربي المقابل
"**Excipients: Magnesium stearate, Microcrystalline cellulose, HPMC, Sodium starch glycolate, Pregelatinized starch, Corn starch, Polysorbate 80, Carnauba wax, Iron oxide yellow, Polyethylene glycol, Titanium dioxide, Lactose**",**السواغات: ستيرات المغنيسيوم، السليلوز البلوري المجهري، HPMC، نشاء الصوديوم غليكولات، نشاء مسبق التجلط، نشاء الذرة، بوليسوربات ٨٠، شمع كارناوبا، أكسيد الحديد الأصفر، بولي إيثيلين غليكول، ثاني أكسيد التيتانيوم، لاكتوز**
**Pharmacodynamics: Centrally acting synthetic analgesic compound**,**الديناميكا الدوائية: مركب مسكن اصطناعي مركزي التأثير**
"**Non-selective pure agonist at mu, delta, and kappa opioid receptors**",**ناظم غير انتقائي للمستقبلات الأفيونية ميو، دلتا، وكابا**
**Inhibition of neuronal reuptake of noradrenaline (norepinephrine) and enhancement of serotonin release**,**تثبيط إعادة امتصاص نورادرينالين (نورإبينيفرين) وتعزيز إطلاق السيروتونين**
"**Pharmacokinetics: Absorption >90%, Bioavailability ~70%**",**الحرائك الدوائية: الامتصاص >٩٠٪، التوافر الحيوي ≈٧٠٪**
**Plasma protein binding: ~20%**,**الارتباط ببروتينات البلازما: ≈٢٠٪**
**Passes blood-brain and placental barriers**,**يعبر حاجز دم-دماغ وحاجز المشيمة**
**Metabolism: CYP3A4 and CYP2D6 isoenzymes involved**,**الاستقلاب: إنزيمات CYP3A4 وCYP2D6 مشاركة**
**Elimination: Almost completely excreted via kidneys**,**الإطراح: يتم طرحه تقريبًا بالكامل عن طريق الكلى**
**Indications: Treatment of moderate to severe pain**,**الاستطبابات: علاج الألم المتوسط إلى الشديد**
"**Contraindications: Hypersensitivity, Acute intoxication with CNS depressants, MAO inhibitors, Severe hepatic/renal/respiratory impairment, Epilepsy, Breastfeeding (long-term)**",**مضادات الاستطباب: فرط الحساسية، التسمم الحاد بمثبطات الجهاز العصبي المركزي، مثبطات مونوأمين أوكسيداز، قصور كبدي/كلوي/تنفسي شديد، صرع، الإرضاع (طويل الأمد)**
"**Warnings: Withdrawal symptoms, Drug dependence, Opioid-dependent patients, Convulsive disorders, Respiratory depression**",**التحذيرات: أعراض الانسحاب، الاعتمادية الدوائية، المرضى المعتمدون على الأفيونيات، اضطرابات اختلاجية، كبت التنفس**
"**Drug Interactions: MAO inhibitors, CNS depressants, Carbamazepine, Cimetidine, SSRIs, SNRIs, Tricyclic antidepressants, Coumarin derivatives (warfarin), Ketoconazole, Erythromycin**",**التداخلات الدوائية: مثبطات MAO، مثبطات الجهاز العصبي المركزي، كاربامازيبين، سيميتيدين، مثبطات استرداد السيروتونين الانتقائية (SSRIs)، مثبطات استرداد السيروتونين والنورادرينالين (SNRIs)، مضادات الاكتئاب ثلاثية الحلقات، مشتقات الكومارين (وارفارين)، كيتوكونازول، إريثرومايسين**
"**Serotonin syndrome (confusion, agitation, fever, sweating, ataxia, hyperreflexia, myoclonus, diarrhea)**",**متلازمة السيروتونين (ارتباك، هياج، حمى، تعرق، ترنح، فرط المنعكسات، رمع عضلي، إسهال)**
"**Pregnancy & Lactation: Crosses placenta, ~0.1% secreted in breast milk**",**الحمل والإرضاع: يعبر المشيمة، ≈٠.١٪ يفرز في حليب الثدي**
"**Adverse Reactions: Palpitation, tachycardia, hypotension, dizziness, headache, somnolence, nausea, vomiting, constipation, dry mouth, diarrhea, sweating, pruritus, rash, urticaria, fatigue**",**الآثار الجانبية: خفقان، تسارع القلب، انخفاض ضغط الدم، دوخة، صداع، نعاس، غثيان، قيء، إمساك، جفاف الفم، إسهال، تعرق، حكة، طفح جلدي، شرى، إرهاق**
"**Overdosage: Miosis, vomiting, cardiovascular collapse, sedation, coma, seizures, respiratory depression**",**فرط الجرعة: تضييق حدقة العين، قيء، وهط قلب وعائي، تهدئة، غيبوبة، اختلاجات، كبت التنفس**
"**Management of Overdosage: Maintain airway, cardiovascular function, naloxone for respiratory depression, diazepam for fits, activated charcoal/gastric lavage within 2 hours**",**إدارة فرط الجرعة: الحفاظ على مجرى الهواء، وظائف القلب والأوعية الدموية، نالوكسون لكبت التنفس، ديازيبام للاختلاجات، الفحم المنشط/غسل المعدة خلال ٢ ساعة**
"**Dosage: Adults & children >12 years: 50-100 mg 3-4 times daily (acute pain), 50-100 mg every 4-6 hours (chronic pain), max 400 mg/day**",**الجرعة: البالغون والأطفال >١٢ سنة: ٥٠-١٠٠ ملغ ٣-٤ مرات يوميًا (ألم حاد)، ٥٠-١٠٠ ملغ كل ٤-٦ ساعات (ألم مزمن)، حد أقصى ٤٠٠ ملغ/اليوم**
"**Renal Impairment: Increase dosage interval to 12 hours if creatinine clearance <30 ml/min, not recommended if <10 ml/min**",**قصور كلوي: زيادة فترة الجرعة إلى ١٢ ساعة إذا كانت تصفية الكرياتينين <٣٠ مل/دقيقة، غير موصى به إذا كانت <١٠ مل/دقيقة**
"**Hepatic Impairment: Divide dose or extend interval to 12 hours, contraindicated in severe impairment**",**قصور كبدي: قسم الجرعة أو اطلب الفترة إلى ١٢ ساعة، مضاد استطباب في القصور الشديد**
**Pediatric: Not recommended for children <12 years**,**الأطفال: غير موصى به للأطفال <١٢ سنة**
