en,ar,category,source
antispasmodic,مضاد تشنج,medical_term,hama-pharma (91 leaflets)
laxative,ملين,medical_term,hama-pharma (91 leaflets)
antidiabetic,خافض سكر,medical_term,hama-pharma (91 leaflets)
hypoglycemic,خافض سكر الدم,medical_term,hama-pharma (91 leaflets)
statin,ستاتين,medical_term,hama-pharma (91 leaflets)
ACE inhibitor,مثبط ACE,medical_term,hama-pharma (91 leaflets)
calcium channel blocker,حاصر قنوات الكالسيوم,medical_term,hama-pharma (91 leaflets)
beta blocker,حاصر بيتا,medical_term,hama-pharma (91 leaflets)
proton pump inhibitor,مثبط مضخة البروتون,medical_term,hama-pharma (91 leaflets)
angiotensin receptor blocker,حاصر مستقبلات الأنجيوتنسين,medical_term,hama-pharma (91 leaflets)
serotonin receptor agonist,شاد مستقبلات السيروتونين,medical_term,hama-pharma (91 leaflets)
serotonin receptor antagonist,ضاد مستقبلات السيروتونين,medical_term,hama-pharma (91 leaflets)
dopamine receptor agonist,شاد مستقبلات الدوبامين,medical_term,hama-pharma (91 leaflets)
dopamine receptor antagonist,ضاد مستقبلات الدوبامين,medical_term,hama-pharma (91 leaflets)
histamine receptor antagonist,ضاد مستقبلات الهيستامين,medical_term,hama-pharma (91 leaflets)
melatonin receptor agonist,شاد مستقبلات الميلاتونين,medical_term,hama-pharma (91 leaflets)
sodium chloride,كلوريد الصوديوم,medical_term,hama-pharma (91 leaflets)
potassium chloride,كلوريد البوتاسيوم,medical_term,hama-pharma (91 leaflets)
magnesium stearate,ستيرات المغنزيوم,medical_term,hama-pharma (91 leaflets)
lactose monohydrate,لاكتوز أحادي الماء,medical_term,hama-pharma (91 leaflets)
titanium dioxide,ثاني أكسيد التيتانيوم,medical_term,hama-pharma (91 leaflets)
povidone,بوفيدون,medical_term,hama-pharma (91 leaflets)
starch,نشا,medical_term,hama-pharma (91 leaflets)
cellulose,سيلولوز,medical_term,hama-pharma (91 leaflets)
glycerin,غليسرين,medical_term,hama-pharma (91 leaflets)
iron oxide,أكسيد الحديد,medical_term,hama-pharma (91 leaflets)
silicon dioxide,ثاني أكسيد السيليكون,medical_term,hama-pharma (91 leaflets)
polyethylene glycol,بولي إيثيلين غليكول,medical_term,hama-pharma (91 leaflets)
hydroxypropyl methylcellulose,هيدروكسي بروبيل ميثيل سيلولوز,medical_term,hama-pharma (91 leaflets)
croscarmellose sodium,كروسكارميلوز صوديوم,medical_term,hama-pharma (91 leaflets)
microcrystalline cellulose,سيلولوز بلوري دقيق,medical_term,hama-pharma (91 leaflets)
composition,التركيب,section_header,hama-pharma (91 leaflets)
composition & excipients,التركيب والسواغات,section_header,hama-pharma (91 leaflets)
excipients,السواغات,section_header,hama-pharma (91 leaflets)
mechanism of action,آلية التأثير,section_header,hama-pharma (91 leaflets)
pharmacokinetics,الحرائك الدوائية,section_header,hama-pharma (91 leaflets)
pharmacokinetic properties,الخصائص الحركية الدوائية,section_header,hama-pharma (91 leaflets)
indications,الاستطبابات,section_header,hama-pharma (91 leaflets)
clinical particulars,البيانات السريرية,section_header,hama-pharma (91 leaflets)
contraindications,مضادات الاستطبابات,section_header,hama-pharma (91 leaflets)
warnings and precautions,التحذيرات والاحتياطات,section_header,hama-pharma (91 leaflets)
warnings,التحذيرات,section_header,hama-pharma (91 leaflets)
precautions,الاحتياطات,section_header,hama-pharma (91 leaflets)
drug interactions,التداخلات الدوائية,section_header,hama-pharma (91 leaflets)
interactions,التداخلات الدوائية,section_header,hama-pharma (91 leaflets)
adverse reactions,ردود الفعل السلبية,section_header,hama-pharma (91 leaflets)
side effects,الآثار الجانبية,section_header,hama-pharma (91 leaflets)
undesirable effects,الآثار غير المرغوبة,section_header,hama-pharma (91 leaflets)
dosage and administration,الجرعة وطريقة الاستعمال,section_header,hama-pharma (91 leaflets)
posology,طريقة الاستعمال والجرعة,section_header,hama-pharma (91 leaflets)
overdosage,فرط الجرعة,section_header,hama-pharma (91 leaflets)
overdose,فرط الجرعة,section_header,hama-pharma (91 leaflets)
storage,شروط الحفظ,section_header,hama-pharma (91 leaflets)
shelf life,مدة الصلاحية,section_header,hama-pharma (91 leaflets)
pregnancy and lactation,الحمل والإرضاع,section_header,hama-pharma (91 leaflets)
effects on ability to drive,التأثير على القدرة على القيادة,section_header,hama-pharma (91 leaflets)
description,الوصف,section_header,hama-pharma (91 leaflets)
therapeutic indications,الاستطبابات العلاجية,section_header,hama-pharma (91 leaflets)
special warnings,تحذيرات خاصة,section_header,hama-pharma (91 leaflets)
special populations,المجموعات الخاصة,section_header,hama-pharma (91 leaflets)
paediatric use,الاستعمال عند الأطفال,section_header,hama-pharma (91 leaflets)
geriatric use,الاستعمال عند كبار السن,section_header,hama-pharma (91 leaflets)
hepatic impairment,قصور كبدي,section_header,hama-pharma (91 leaflets)
renal impairment,اعتلال كلوي,section_header,hama-pharma (91 leaflets)
presentation,الشكل الصيدلي والتغليف,section_header,hama-pharma (91 leaflets)
packaging,التغليف,section_header,hama-pharma (91 leaflets)
marketing authorisation,ترخيص التسويق,section_header,hama-pharma (91 leaflets)
manufacturer,الشركة المصنعة,section_header,hama-pharma (91 leaflets)
nature and contents,طبيعة ومحتويات,section_header,hama-pharma (91 leaflets)
date of revision,تاريخ المراجعة,section_header,hama-pharma (91 leaflets)
name of the medicinal product,اسم الدواء,section_header,hama-pharma (91 leaflets)
qualitative and quantitative composition,التركيب النوعي والكمي,section_header,hama-pharma (91 leaflets)
pharmaceutical form,الشكل الصيدلي,section_header,hama-pharma (91 leaflets)
clinical efficacy and safety,الفعالية والسلامة السريرية,section_header,hama-pharma (91 leaflets)
pharmacodynamic properties,الخصائص الديناميكية الدوائية,section_header,hama-pharma (91 leaflets)
preclinical safety data,بيانات السلامة قبل السريرية,section_header,hama-pharma (91 leaflets)
list of excipients,قائمة السواغات,section_header,hama-pharma (91 leaflets)
incompatibilities,عدم التوافق,section_header,hama-pharma (91 leaflets)
special precautions for disposal,احتياطات خاصة للتخلص,section_header,hama-pharma (91 leaflets)
