en	ar	section	type	source
Packaging: A carton box contains 2 Blisters (Al/ Al), each contains 10 tablets	أقراص	DOSAGE_FORM	sentence	arthrobye
(20 tablets/carton box).	أقراص	DOSAGE_FORM	phrase	arthrobye
Swallow ARTHROSIN tablets whole with liquid. Do not split, chew, crush or	أقراص	DOSAGE_FORM	sentence	arthrosin
Packaging: 2 blisters, each contains 10 delayed-release film-coated tablets/	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	arthrosin
(film-coated delayed-release tablets)	أقراص	DOSAGE_FORM	phrase	arthrosin
tablet core: Pregelatinised maize starch, Maize starch, sodium laurilsulfate,	جل	DOSAGE_FORM	sentence	by-tubin
2 tablets	أقراص	DOSAGE_FORM	term	by-tubin
3 tablets	أقراص	DOSAGE_FORM	term	by-tubin
4 tablets	أقراص	DOSAGE_FORM	term	by-tubin
5 tablets	أقراص	DOSAGE_FORM	term	by-tubin
Packaging: 3 blister, each conatins 10 film-coated tablets\Carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	by-tubin
BY-TUBIN Film coated tablets	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	by-tubin
Excipients: Calcium carbonate, Croscarmelose sodium, Microcrystalline cellulose, Pregelatinised	جل	DOSAGE_FORM	sentence	cardef
Renal impairment	اعتلال كلوي	HEADER	term	cardef
Packaging: 1 blister Aluminum/Aluminum contains 10 film-coated tablets of all strengths of CARDEF.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	cardef
2 blisters Aluminum/Aluminum contain 20 film-coated tablets of all strengths of CARDEF.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	cardef
Undesirable effects	الآثار غير المرغوبة	HEADER	phrase	cholvit
• Vitamin D Tablets should be used with caution in patients with	أقراص	DOSAGE_FORM	sentence	cholvit
CHOLVIT 5000 IU (Tablets):	أقراص	DOSAGE_FORM	dosage	cholvit
CHOLVIT 50000 IU (Film-Coated Tablets):	أقراص ملبسة بالفيلم	DOSAGE_FORM	dosage	cholvit
Presentation	الشكل الصيدلي والتغليف	HEADER	phrase	cholvit
2 Alu/Alu blisters, each contains 10 tablets/carton box.	أقراص	DOSAGE_FORM	sentence	cholvit
1 Alu/Alu blister contains 10 tablets/carton box.	أقراص	DOSAGE_FORM	sentence	cholvit
VITAMIN D3 (COLECALCIFEROL) 5000 IU (Tablets)	أقراص	DOSAGE_FORM	dosage	cholvit
VITAMIN D3 (COLECALCIFEROL) 50000 IU (Film-Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	dosage	cholvit
jejuni, Shigella boydii, Shigella dysenteriae, Shigella flexneri or Shigella sonnei when	جل	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
• ciprofloxacin film-coated tablets, are not a drug of first choice in the treatment of presumed	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
Resistant: prescribing Ciprofloxacin film-coated tablets in the absence of a proven or strongly	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
film-coated tablets with dairy products (like milk or yogurt) or calcium-fortified juices alone	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
film-coated tablets when the physician prescribe it:	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
Hepatic Impairment	قصور كبدي	HEADER	term	ciprofloxacin_hama_parma
PACKAGING: 1 or 2 blisters, each contains 10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	ciprofloxacin_hama_parma
Ciprofloxacin Hama Pharma (Film-Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	ciprofloxacin_hama_parma
Pharmacokinetics: In man, Clozapine tablets (25 mg and 100 mg)	أقراص	DOSAGE_FORM	dosage	clozapine_hama_pharma
-  Severe Neutropenia: Clozapine tablets can cause neutropenia	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
percentage of patients taking clozapine tablets and is associated	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
-  Clozapine Tablets Treatment and Monitoring in the General Patient	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
treatment with clozapine tablets to ensure the presence of a normal	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
-  Clozapine Tablets Treatment and Monitoring in Patients with Benign	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
For some patients who experience severe clozapine tablets-related	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
clozapine tablets treatment may be greater than the risk of rechallenge	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
options other than clozapine tablets). A hematology consultation	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
neutropenia with clozapine tablets or a clozapine product. If a	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
clozapine tablets rechallenge, and the severity and characteristics	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
If clozapine tablets are used concurrently with an agent known to	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
- Falls: Clozapine tablets may cause somnolence, postural hypotension,	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
antipsychotics including clozapine tablets. Assessment of the	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
tablets.Consider the possibility of pulmonary embolism in patients	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
Packaging: (3) blisters, each contains 10 tablets /carton box.	أقراص	DOSAGE_FORM	sentence	clozapine_hama_pharma
CLOZAPINE HAMA PHARMA (Tablets)	أقراص	DOSAGE_FORM	phrase	clozapine_hama_pharma
tablets while	أقراص	DOSAGE_FORM	term	clozapine_hama_pharma
clozapine tablets	أقراص	DOSAGE_FORM	term	clozapine_hama_pharma
tablets	أقراص	DOSAGE_FORM	term	clozapine_hama_pharma
tablets dose.	أقراص	DOSAGE_FORM	term	clozapine_hama_pharma
tablets dose	أقراص	DOSAGE_FORM	term	clozapine_hama_pharma
tablets dose if necessary.	أقراص	DOSAGE_FORM	phrase	clozapine_hama_pharma
increase the clozapine tablets	أقراص	DOSAGE_FORM	phrase	clozapine_hama_pharma
increasing the clozapine tablets	أقراص	DOSAGE_FORM	phrase	clozapine_hama_pharma
the clozapine tablets	أقراص	DOSAGE_FORM	phrase	clozapine_hama_pharma
hGdëü°ƒ∫ Y∏≈ GELôGA J≤««º d∏≤∏Ö Yæó G’T°àÑÉ√ HôOhO GdØ©π gò√.	جل	DOSAGE_FORM	sentence	clozapine_hama_pharma
Ö GELôGA J≤««º aƒQ… d©ÓeÉä hGCYôGV¢ QOhO	جل	DOSAGE_FORM	sentence	clozapine_hama_pharma
…. GELôGA	جل	DOSAGE_FORM	term	clozapine_hama_pharma
ê Hμ∏ƒRGHÚ hG◊ü°ƒ∫ Y∏≈ GELôGA	جل	DOSAGE_FORM	phrase	clozapine_hama_pharma
Polydextrose, Polyvinyl Alcohol, Pregelatinized Starch,	جل	DOSAGE_FORM	phrase	conval
Pregnancy and Lactation	الحمل والإرضاع	HEADER	phrase	conval
- do not use more than 6 tablets in any 24‐hour period unless	أقراص	DOSAGE_FORM	sentence	conval
2 Blisters, each contains 10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	conval
Adults and adolescents from 12 years of age: 1 - 2 capsules, Up to 3 times	كبسولات	DOSAGE_FORM	sentence	cyamocet
The maximum dose per day of 6 capsules must not be exceeded. The time	كبسولات	DOSAGE_FORM	sentence	cyamocet
30 capsules in 3 blisters, each blister contains 10 capsules/Carton box.	كبسولات	DOSAGE_FORM	sentence	cyamocet
CYAMOCET (Capsules)	كبسولات	DOSAGE_FORM	term	cyamocet
DEFORCE film-coated tablets are used for the treatment of essential hypertension.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	deforce
receiving valsartan, amlodipine and HCTZ from separate tablets may be switched to	أقراص	DOSAGE_FORM	sentence	deforce
10 film-coated tablets in one blister/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	deforce
30 film-coated tablets in 3 blisters/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	deforce
Z†°ƒ¿ GCS°ÑƒY«ø H©ó GELôGA J¨««ô a» GdéôYÉä. Gdëó G’Cbü°≈ eø GdéôYá Gdªæü°ƒì H¡É gƒ 01/023/52e∏≠.	جل	DOSAGE_FORM	sentence	deforce
Packaging: 2 blisters, each contains 10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	diatamb
"•	Swallow the product tablets whole. Do not split, crush, dissolve, or chew before swallowing."	أقراص	DOSAGE_FORM	sentence	diatamb_plus
There have been reports of incompletely dissolved tablets being eliminated in the feces for other tablets	أقراص	DOSAGE_FORM	sentence	diatamb_plus
containing metformin hydrochloride. If a patient reports seeing tablets in feces, the healthcare provider	أقراص	DOSAGE_FORM	sentence	diatamb_plus
DIATAMB PLUS (film-coated tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	diatamb_plus
Temazepam and oxazepam are largely eliminated by glucuronidation.	جل	DOSAGE_FORM	sentence	diazepam_hama_pharma
PACKING: A box of 3 blisters, each contains 10 tablets.	أقراص	DOSAGE_FORM	sentence	diazepam_hama_pharma
(Tablets) (2,5,10mg)	أقراص	DOSAGE_FORM	dosage	diazepam_hama_pharma
Diclofenac in the enteric coated tablets is rapidly and completely absorbed after	أقراص	DOSAGE_FORM	sentence	diclofenac_hama_pharma
tablets. Regardless of the indication, the dosage of diclofenac should be individualized	أقراص	DOSAGE_FORM	sentence	diclofenac_hama_pharma
daily dose is 150 mg. Diclofenac sodium should be taken with food and the tablets	أقراص	DOSAGE_FORM	dosage	diclofenac_hama_pharma
20 enteric-coated tablets of 25 mg/carton box.	أقراص	DOSAGE_FORM	dosage	diclofenac_hama_pharma
20 enteric-coated tablets of 50 mg/carton box.	أقراص	DOSAGE_FORM	dosage	diclofenac_hama_pharma
20 enteric-coated tablets of 75 mg/carton box.	أقراص	DOSAGE_FORM	dosage	diclofenac_hama_pharma
(ENTERIC-COATED TABLETS)	أقراص	DOSAGE_FORM	term	diclofenac_hama_pharma
3 blisters, each contains 10 Sustained-Release Capsules/ car-	كبسولات	DOSAGE_FORM	sentence	diltiazem_hama_pharma
Ö GEYÓΩ WÑ«Ö Gdàîójô bÑπ GELôGA Gdàîójô Gd©ÉΩ a» MÉ∫ Gd©Ó	جل	DOSAGE_FORM	sentence	diltiazem_hama_pharma
GdªôV°≈ Gdòjø jà∏≤ƒ¿ MÉd«Ék LôYá jƒe«á GELªÉd«á 081 e∏≠ Oj∏à«ÉRjº )céôYá 09 e∏≠	جل	DOSAGE_FORM	sentence	diltiazem_hama_pharma
PACKAGING: (3) blisters, each contains 10 tablets/carton box.	أقراص	DOSAGE_FORM	sentence	drna_stop
DRNA STOP (Tablets)	أقراص	DOSAGE_FORM	phrase	drna_stop
Ö GELôGA GNàÑÉQ Gdëù°ÉS°«á a» GdªîàÑô	جل	DOSAGE_FORM	sentence	drna_stop
Ö GYàªÉO eîàÑô eôL©» bÉOQ Y∏≈ GELôGA gò√ GdóQGS°Éä.	جل	DOSAGE_FORM	sentence	drna_stop
Pregelatinized starch.	جل	DOSAGE_FORM	term	enalapril_plus_hama_pharma
The daily dosage should not exceed two tablets of this drug (10-25).	أقراص	DOSAGE_FORM	sentence	enalapril_plus_hama_pharma
a box of 3 blisters, each contains 10 tablets.	أقراص	DOSAGE_FORM	sentence	enalapril_plus_hama_pharma
Absorption: Absorption of diclofenac from Fast-Vol dispersible tablets sets in immediately after	أقراص	DOSAGE_FORM	sentence	fast-vol
tablets. Mean peak plasma concentrations of about 1 micrograms/mL (3 micromole/L) are attained	أقراص	DOSAGE_FORM	sentence	fast-vol
tablets together with or immediately after a meal does not delay the onset of absorption but reduces the	أقراص	DOSAGE_FORM	sentence	fast-vol
− The recommended initial daily dose is 2 to 3 dispersible tablets.	أقراص	DOSAGE_FORM	sentence	fast-vol
− In milder cases, 2 dispersible tablets daily are usually sufficient.	أقراص	DOSAGE_FORM	sentence	fast-vol
3 dispersible tablets. A dose of 1 to 2 tablets should be given initially and, if necessary, increased	أقراص	DOSAGE_FORM	sentence	fast-vol
over the course of several menstrual cycles up to a maximum of 4 tablets daily. Treatment should	أقراص	DOSAGE_FORM	sentence	fast-vol
Paediatric population: Because of their dosage strength, Fast-Vol dispersible tablets are not recommended	أقراص	DOSAGE_FORM	sentence	fast-vol
tablets of Fast-Vol daily are usually sufficient, taken in separate doses.	أقراص	DOSAGE_FORM	sentence	fast-vol
Fast-Vol dispersible tablets should preferably be taken before meals.	أقراص	DOSAGE_FORM	sentence	fast-vol
Fast-Vol dispersible tablets should be dropped into a glass of water and the liquid stirred to aid dispersion	أقراص	DOSAGE_FORM	sentence	fast-vol
it is advisable to rinse the glass with a small amount of water and swallow again. The dispersible tablets	أقراص	DOSAGE_FORM	sentence	fast-vol
Packaging: 2 blisters, each contains 10 dispersible tablets/carton box.	أقراص	DOSAGE_FORM	sentence	fast-vol
FAST-VOL (Dispersible tablets)	أقراص	DOSAGE_FORM	phrase	fast-vol
is largely excreted in the urine unchanged, together with small	جل	DOSAGE_FORM	sentence	fedrofen
Ö GELôGA JóGH«ô Gdª©Édéá Gd©ôV°«á hGdóGYªá, NÉU°ák a«ªÉ jîü¢ Gdéª∏á Gd≤∏Ñ«á	جل	DOSAGE_FORM	sentence	fedrofen
FEDROLIDINE Tablets may cause drowsiness and impairment of performance.	أقراص	DOSAGE_FORM	sentence	fedrolidine
in patients with normal blood pressure, FEDROLIDINE Tablets should be	أقراص	DOSAGE_FORM	sentence	fedrolidine
Concomitant use of FEDROLIDINE Tablets with alcohol or other central nervous	أقراص	DOSAGE_FORM	sentence	fedrolidine
Concomitant use of FEDROLIDINE Tablets with: tricyclic antidepressants, other	أقراص	DOSAGE_FORM	sentence	fedrolidine
partially reversed by the pseudoephedrine in FEDROLIDINE Tablets, eg.,	أقراص	DOSAGE_FORM	sentence	fedrolidine
The effects of acute toxicity from FEDROLIDINE Tablets may include drowsiness,	أقراص	DOSAGE_FORM	sentence	fedrolidine
Two blisters, each contains 10 tablets/cartoon.	أقراص	DOSAGE_FORM	sentence	fedrolidine
Ö GC¿ jàº GELôGA Zù°«π d∏ª©óI Mà≈ 3	جل	DOSAGE_FORM	sentence	fedrolidine
ø GC¿ jµƒ¿ GELôGA bù°£ôI d∏ªãÉfá V°ôhQjÉk. ‘ H©†¢ G◊É’	جل	DOSAGE_FORM	sentence	fedrolidine
Adults and children 12 years and over: take 2 tablets	أقراص	DOSAGE_FORM	sentence	fem-relieve
Do not exceed 8 tablets in a 24 hour period or as direct­	أقراص	DOSAGE_FORM	sentence	fem-relieve
(1) or (3) blisters , each contains 10 film-coated tablets/	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	fem-relieve
FEM-RELIEVE (film-coated tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	fem-relieve
Packing: 2 blisters, each blister contains 10 extended-release capsules/carton box.	كبسولات	DOSAGE_FORM	sentence	ferula-z
FERULA-Z Capsules (Pellets)	كبسولات	DOSAGE_FORM	phrase	ferula-z
Packing: 3 blisters, each blister contains 10 capsules/carton box.	كبسولات	DOSAGE_FORM	sentence	ferula
FERULA Capsules (Pellets)	كبسولات	DOSAGE_FORM	phrase	ferula
Lactose, Povidone (k 25), Pregelatinized maize starch, talc,	جل	DOSAGE_FORM	sentence	furopot
Hydroxypropylmethyl cellulose, lactose, Povidone (k 25), Pregelatinized	جل	DOSAGE_FORM	sentence	furopot
maize starch, talc, gelatin powder, cetostearyl alcohol, magnesium	جل	DOSAGE_FORM	sentence	furopot
various aetiologies. Potassium chloride is present in the tablets to	أقراص	DOSAGE_FORM	sentence	furopot
preferably prior to or during a meal. The tablets should not be chewed	أقراص	DOSAGE_FORM	sentence	furopot
there is a risk of hyperkalaemia. This Tablets should not be chewed	أقراص	DOSAGE_FORM	sentence	furopot
tablets/Carton box.	أقراص	DOSAGE_FORM	term	furopot
(Bilayer controlled release Film coated tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	furopot
: H©ó GEL	جل	DOSAGE_FORM	phrase	furopot
Geriatric Use	الاستعمال عند كبار السن	HEADER	phrase	glifolong
Swallow THIS PRODUCT tablets whole and never crush, cut, or chew.	أقراص	DOSAGE_FORM	sentence	glifolong
tablets.	أقراص	DOSAGE_FORM	term	glifolong
bi layered tablets.	أقراص	DOSAGE_FORM	phrase	glifolong
Film-coated extended release bi layered tablets	أقراص	DOSAGE_FORM	sentence	glifolong
Excipients: mannitol, pregelatinized starch, corn starch, copovidone, and	جل	DOSAGE_FORM	sentence	glucobye
Method of administration: The tablets can be taken with or without a	أقراص	DOSAGE_FORM	sentence	glucobye
Excipients: Mannitol, Pregelatinized starch, Corn starch, Copovidone, Crospovidone,	جل	DOSAGE_FORM	sentence	glucobye_plus
GLUCOBYE PLUS (Film-Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	glucobye_plus
: A carton box contains ٠٣chewable tablets.	أقراص	DOSAGE_FORM	sentence	hama_pharma_c
IMPROMOOD SR (Sustained-Release Capsules)	كبسولات	DOSAGE_FORM	phrase	impromood_sr
• Diuretics (“water tablets” e.g. Furosemide)	أقراص	DOSAGE_FORM	sentence	impromood_sr
film-coated tablets before starting treatment with Amitriptyline Retard.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	impromood_sr
PACKAGING: 2 Blisters, each contains 10 sustained-release capsules / carton box .	كبسولات	DOSAGE_FORM	sentence	impromood_sr
each tablet of Ketotifen Hama Pharma tablets contains:	أقراص	DOSAGE_FORM	sentence	ketotifen_hama_pharma
A box of 2 blisters, each contains 10 tablets of Ketotifen	أقراص	DOSAGE_FORM	sentence	ketotifen_hama_pharma
Hama Pharma Tablets.	أقراص	DOSAGE_FORM	phrase	ketotifen_hama_pharma
Ketotifen Hama Pharma TAbleTs	أقراص	DOSAGE_FORM	phrase	ketotifen_hama_pharma
Amidon (de porumb) pregelatinizat,	جل	DOSAGE_FORM	phrase	linavus
2 blisters each contains 10 tablets/carton box.	أقراص	DOSAGE_FORM	sentence	metronidazole_hama_pharma
Metronidazole Hama Pharma (TABLETS)	أقراص	DOSAGE_FORM	phrase	metronidazole_hama_pharma
Adults: 4-6 tablets of (Spiramycin750,000 IU + Metronidazole e 125	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
mg), or 2-3 tablets of (Spiramycin1,5 MIU + Metronidazole e 250 mg)	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
may be increase to 8 tablets of (Spiramycin750,000 IU + Metronidazole	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
e 125 mg) or 4 tablets of (Spiramycin1,5 MIU + Metronidazole e 250 mg).	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
3 tablets of (Spiramycin750,000 IU +	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
2 tablets of (Spiramycin750,000 IU +	أقراص	DOSAGE_FORM	dosage	metronidazole_plus_hama_pharma
Packing: 2 Blisters, each contains 10 film-coated tablets/box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	metronidazole_plus_hama_pharma
(Film Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	metronidazole_plus_hama_pharma
Sodium Starch Glycolate, Silica Aerogel, Hydrogenated Castor Oil,	جل	DOSAGE_FORM	sentence	muler
Pharmacokinetic properties	الخصائص الحركية الدوائية	HEADER	phrase	muler
Children (aged >12 years) and adults: 2 tablets thrice daily.	أقراص	DOSAGE_FORM	sentence	muler
2 blisters, each contains 10 dispersible tablets/carton box.	أقراص	DOSAGE_FORM	sentence	muler
MULER (Dispersible Tablets )	أقراص	DOSAGE_FORM	phrase	muler
(5 mg/12.5 mg) daily, preferably at the same time of the day. Tablets	أقراص	DOSAGE_FORM	dosage	nivoltic
the same time of the day. Tablets may be taken with meals.	أقراص	DOSAGE_FORM	sentence	nivoltic
10 film-coated tablets in one blister/carton.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	nivoltic
30 film-coated tablets in 3 blisters/carton.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	nivoltic
MENT (armodafinil) tablets are administered to a nursing woman.	أقراص	DOSAGE_FORM	sentence	nodement
largely eliminated via CYP2C19 metabolism, such as diazepam,	جل	DOSAGE_FORM	sentence	nodement
3 blisters, each contains 10 tablets/cartoon.	أقراص	DOSAGE_FORM	sentence	nodement
Excipients: Magnesium stearate, Pregeltinized starch, Sodium lauryl	جل	DOSAGE_FORM	sentence	nortriptyline
smallest quantity of capsules consistent with good patient management,	كبسولات	DOSAGE_FORM	sentence	nortriptyline
(such as oral tablets or by local injection) or in intravenous doses much	أقراص	DOSAGE_FORM	sentence	nortriptyline
Presentation: 2 blisters, each contains10 Capsules of Nortriptyline	كبسولات	DOSAGE_FORM	sentence	nortriptyline
NORTRIPTYLINE HAMA PHARMA (Capsules)	كبسولات	DOSAGE_FORM	phrase	nortriptyline
nearly all antibacterial agents, including ofloxacin tablets, and may range in severity from	أقراص	DOSAGE_FORM	sentence	ofloxazole
General: Prescribing ofloxacin tablets in the absence of a proven or strongly suspected	أقراص	DOSAGE_FORM	sentence	ofloxazole
magnesium-based antacids, sucralfate or didanosine tablets or the paediatric powder for	أقراص	DOSAGE_FORM	sentence	ofloxazole
oral solution should not be taken within the 2-hour period before or within the 2-hour	محلول فموي	DOSAGE_FORM	sentence	ofloxazole
That antibacterial drugs, including ofloxacin tablets, should only be used to treat	أقراص	DOSAGE_FORM	sentence	ofloxazole
ofloxacin tablets are prescribed to treat a bacterial infection, patients should be told that	أقراص	DOSAGE_FORM	sentence	ofloxazole
tablets or other antibacterial drugs in the future.	أقراص	DOSAGE_FORM	sentence	ofloxazole
paediatric powder for oral solution may substantially interfere with the absorption of	محلول فموي	DOSAGE_FORM	sentence	ofloxazole
Adults and children 12 years and older: 2 tablets every 4 hours. Do not exceed	أقراص	DOSAGE_FORM	sentence	orfam
10 tablets in 24 hours.	أقراص	DOSAGE_FORM	phrase	orfam
PACKAGING: 2 blisters, each contains 10 film-coated tablets /carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	orfam
ORFAM (Film-Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	orfam
Presentation: 2 blisters, each contains 10 capsules of Orlistat	كبسولات	DOSAGE_FORM	sentence	orlistat_hama_pharma
Polyethylene glycol, Polyvinyl alcohol, Povidone, Pregelatinized	جل	DOSAGE_FORM	sentence	orvan
Dosage and Administrations: 2 tablets every 4 hours. Maximum 10	أقراص	DOSAGE_FORM	sentence	orvan
tablets in 24 hours.	أقراص	DOSAGE_FORM	phrase	orvan
Packaging: 2 blisters each contains 10 film-coated tablets/carton box.	أقراص ملبسة بالفيلم	DOSAGE_FORM	sentence	orvan
ORVAN (Film Coated Tablets)	أقراص ملبسة بالفيلم	DOSAGE_FORM	phrase	orvan
Paracetamol Advance Hama Pharma tablets contain a disintegrant system which accelerates tablet dissolution compared to	أقراص	DOSAGE_FORM	sentence	paracetamol_advance_hama_pharma
standard paracetamol tablets. Moreover, the time taken to reach plasma paracetamol therapeutic threshold (4-7mcg/ml) is	أقراص	DOSAGE_FORM	dosage	paracetamol_advance_hama_pharma
at least 37% faster with Paracetamol Advance tablets compared to standard paracetamol tablets. But the total extent of	أقراص	DOSAGE_FORM	dosage	paracetamol_advance_hama_pharma
absorption of paracetamol from Paracetmol Advance tablets is equivalent to that from standard paracetamol tablets.	أقراص	DOSAGE_FORM	sentence	paracetamol_advance_hama_pharma
Adults: Two tablets up to four times daily as required.	أقراص	DOSAGE_FORM	sentence	paracetamol_advance_hama_pharma
In adults, hepatotoxicity may occur after ingestion of a single dose of 12 g (24 tablets) of paracetamol; a dose of 25 g (50	أقراص	DOSAGE_FORM	dosage	paracetamol_advance_hama_pharma
tablets) or more is potentially fatal. Sy mptoms during the first 2 days of acute poisoning by paracetamol do not reflect the	أقراص	DOSAGE_FORM	sentence	paracetamol_advance_hama_pharma
PRESENTATION: A box of 2 or 50 blisters, each contains 10 tablets.	أقراص	DOSAGE_FORM	sentence	paracetamol_advance_hama_pharma
CAPSULES	كبسولات	DOSAGE_FORM	term	paracetamol_extra_hama_pharma
Pharmacodynamic properties	الخصائص الديناميكية الدوائية	HEADER	phrase	paracetamol_extra_hama_pharma
Summary: Treatment of overdose with Paracetamol Extra Hama Pharma Tablets requires	أقراص	DOSAGE_FORM	sentence	paracetamol_extra_hama_pharma
Adults (including the elderly): 2 tablets up to 3 or 4 times a day if necessary. The dose should	أقراص	DOSAGE_FORM	sentence	paracetamol_extra_hama_pharma
Children and adolescents aged 12 – 18 years: 2 tablets up to 3 or 4 times a day if necessary.	أقراص	DOSAGE_FORM	sentence	paracetamol_extra_hama_pharma
2 blisters, each contains 10 capsules/carton box.	كبسولات	DOSAGE_FORM	sentence	paracetamol_extra_hama_pharma
3 Blisters, each contains 10 tablets of	أقراص	DOSAGE_FORM	sentence	phenobarbital_hama_pharma
